pmid,estrato,gold_answer,n_modelos,modelos,respostas,termo_que_casou,comprimento_termo,na_amostra,veredito_manual,nota_revisor,contexto
19712061,Q1_Super_Populares,leucine-rich repeat kinase 2,2,gemma4_26b;llama3.3_70b,LRRK2,lrrk2,5,nao,eco_real,'LRRK2 kinase inhibition by the LRRK2 roco fragment' no titulo,...homo- and heterodimerization of roco kinases: lrrk2 kinase inhibition by the lrrk2 roco fragment. mutations in ...
20932315,Q1_Super_Populares,EP300,1,qwen3.6_35b,P300,p300,4,sim,eco_real,'p300' listado entre os co-ativadores,"...rs. mutations in transcriptional co-activator genes-cited2, p300, cbp, tfap2alpha, carm1 and cart1 result in ntds in murine ..."
21035110,Q1_Super_Populares,interleukin-1,3,gemma4_31b;llama3.3_70b;qwen3.6_35b,IL1,il1,3,nao,eco_real,"AMBIGUO: 'il1' visivel so em 'IL1-RN-VNTR', que e IL1RN -- outro gene. A string da resposta (IL1) esta no texto como token, entao conta pelo criterio (A).","...0026 respectively). the a1 allele and a1/a1 genotype of the il1-rn-vntr were significantly increased in cp (p(corr)=0.0007,..."
21097678,Q1_Super_Populares,p38 mitogen-activated protein kinase,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,p38,p38,3,nao,eco_real,'via the p38 MAPK-p75(NTR) pathway',...ancer cell migration is mediated by nag-1 induction via the p38 mapk-p75(ntr) pathway. the nonsteroidal anti-inflammatory d...
24915949,Q1_Super_Populares,insulin-like growth factor-1,1,llama3.3_70b,IGF-1,igf,3,sim,falso_alarme,"termo 'igf' casou como fragmento de 'igf-2' e 'igfbp-3', que sao OUTROS genes (IGF2, IGFBP3). O hifen conta como fronteira de token. A resposta 'IGF-1' nao aparece no texto -- gold e sigla ambos mascarados.","...xpression of [mask] ([mask]), insulin-like growth factor-2 (igf-2), and insulin-like growth factor binding protein-3 (igfbp..."
27781293,Q1_Super_Populares,methylenetetrahydrofolate reductase,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,MTHFR,mthfr,5,nao,eco_real,'MTHFR 677C>T polymorphism' no titulo,...methotrexate elimination and toxicity: mthfr 677c>t polymorphism in patients with primary cns lymphoma t...
28629373,Q1_Super_Populares,programmed cell death protein 1,2,gemma4_26b;llama3.3_70b,PD-1,pd-1,4,sim,eco_real,'upregulation of TIGIT and PD-1' no titulo,...imp-1 impairs t cell function via upregulation of tigit and pd-1 in patients with acute myeloid leukemia. background: t cell...
29120858,Q1_Super_Populares,osteopontin,3,gemma4_26b;gemma4_31b;llama3.3_70b,OPN,opn,3,nao,eco_real,'fibrosis controlling factors - ostepontin (OPN)',"..., pinp, piiinp), fibrosis controlling factors - ostepontin (opn), transforming growth factor (tgf1-beta) and connective tis..."
29150654,Q1_Super_Populares,glucocorticoid receptor,2,gemma4_26b;llama3.3_70b,GR,gr,2,sim,eco_real,'activate the [MASK] (GR)',"...but in certain cell types, it can also activate the [mask] (gr). both mr and gr are structurally and functionally related ..."
31727962,Q1_Super_Populares,Androgen Receptor,2,gemma4_26b;gemma4_31b,AR,ar,2,nao,eco_real,'AR splice variant 7 (ARV7)',"...(p = 0.045), but decreased from group 3 through to group 4. ar splice variant 7 (arv7) and glucocorticoid receptor (gr) tr..."
31983437,Q1_Super_Populares,amyloid precursor protein,2,gemma4_26b;llama3.3_70b,APP,app,3,sim,eco_real,'c-terminal region of the [MASK] (APP)',"...d that crbn recognizes the c-terminal region of the [mask] (app), a protein known for its involvement in the development of..."
33446896,Q1_Super_Populares,CD117,2,gemma4_31b;llama3.3_70b,KIT,kit,3,sim,eco_real,"AMBIGUO: 'KIT' aparece em 'SCF, KIT ligand, steel factor' -- nomeia o alvo (o ligante DE KIT), mas dentro do nome de outro gene (KITLG).","...ression and activation by its ligand stem cell factor (scf, kit ligand, steel factor) alter prostate cancer aggressiveness,..."
33813478,Q1_Super_Populares,mir-21,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,hsa-miR21-3p | miR21 | miR21-3p | mir21,mir21,5,sim,eco_real,'hsa-miR21-3p' repetido 4x no abstract,"... were able to determine 49 samples of hsa-mir210-3p and hsa-mir21-3p from maternal plasma, 44 samples of hsa-mir210-3p and 37..."
34271894,Q1_Super_Populares,Programmed cell death protein-1,2,gemma4_26b;llama3.3_70b,PD-1,pd-1,4,sim,eco_real,'[MASK] (PD-1) protects liver damage' no titulo,...[mask] (pd-1) protects liver damage by suppressing ifn-gamma expression ...
36546586,Q1_Super_Populares,MDM2) and 4,2,gemma4_31b;llama3.3_70b,MDM2,mdm2,4,nao,eco_real,'interactions between MDM2/MDM4 and p53'. Gold malformado ('MDM2) and 4').,...linical trials with drugs that prevent interactions between mdm2/mdm4 and p53. bone marrow samples from 111 patients with ac...
38368381,Q1_Super_Populares,specificity protein 1,1,qwen3.6_35b,SP1,sp1,3,sim,eco_real,"'RBBP7, regulated by SP1' no titulo","...rbbp7, regulated by sp1, enhances the warburg effect to facilitate the proliferatio..."
38441376,Q1_Super_Populares,p38 MAP kinase,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,P38 | p38,p38,3,sim,eco_real,'inhibitor of phos-p38' visivel; a outra ocorrencia saiu como 'phos-[MASK] MAPK',... 10 days +- anti-cd40/recombinant il-4 +- inhibitor of phos-p38. culture supernatants were assayed for ige (elisa). phos-[m...
7607642,Q1_Super_Populares,angiotensinogen,1,llama3.3_70b,AGT,agt,3,nao,eco_real,'new mutations in the human [MASK] gene (AGT)' no titulo,"...characterization of new mutations in the human [mask] gene (agt). as part of the multicenter project entitled ""pathobiologi..."
7683646,Q1_Super_Populares,IGF-I,1,qwen3.6_35b,IGF-II,igf,3,nao,falso_alarme,termo 'igf' casou como fragmento de 'IGF binding macromolecules'. A resposta 'IGF-II' nao ocorre no texto (0 casamentos) -- e outro gene alem disso. Mesmo mecanismo de 24915949.,...vide a useful tool for dissecting the role of the different igf binding macromolecules in the mediation of [mask]i actions...
10364477,Q2_Medios,endothelial cell protein C receptor,1,qwen3.6_35b,Protein C/activated protein C receptor,protein c receptor,18,sim,eco_real,'endothelial cell protein C/activated protein C receptor ([MASK])',...ecently identified the endothelial cell protein c/activated protein c receptor ([mask]) which is capable of high-affinity binding for prot...
10380976,Q2_Medios,prepronociceptin,1,llama3.3_70b,NOCISTATIN PRECURSOR PEPTIDE: Nociceptin,nocistatin,10,nao,eco_real,"'identification of human, rat and mouse nocistatin in brain' -- nocistatin e peptideo derivado do proprio PNOC","...identification of human, rat and mouse nocistatin in brain and human nocistatin in brain and human cerebrospi..."
11058587,Q2_Medios,Ep-CAM,1,gemma4_26b,GA733/GA733-2,ga733-2,7,sim,eco_real,'glycoprotein GA733-2 ([MASK]/[MASK])' no titulo,...omeric state of the colon carcinoma-associated glycoprotein ga733-2 ([mask]/[mask]) and its role in ga733-mediated homotypic ce...
11257441,Q2_Medios,Sortilin,3,gemma4_26b;gemma4_31b;qwen3.6_35b,NTSR2/gp95 | gp95/NTS receptor 3 | gp95/neurotensin receptor,gp95,4,sim,eco_real,'the identification of gp95[MASK]' -- alias colado na mascara,"...n signaling and cellular trafficking? the identification of gp95[mask], a sorting protein, as being the 100 kda neurotensin ..."
11309369,Q2_Medios,Ectodysplasin,2,llama3.3_70b;qwen3.6_35b,EDA,eda,3,nao,eco_real,"AMBIGUO: 'EDA' visivel em 'anhidrotic ectodermal dysplasia (EDA)' -- sigla da DOENCA, embora EDA tambem seja o simbolo do gene.",...binds to the edar protein. anhidrotic ectodermal dysplasia (eda) is an x-linked disorder characterized by abnormal developm...
12072807,Q2_Medios,fibroblast growth factor receptor 2,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,FGFR2,fgfr2,5,nao,eco_real,'associated with a mutation in FGFR2' no titulo,...sacral appendage associated with a mutation in fgfr2. we report a baby with craniosynostosis and a sacral append...
12370157,Q2_Medios,galactose-1-phosphate uridyltransferase,3,gemma4_26b;gemma4_31b;llama3.3_70b,GALT,galt,4,sim,eco_real,'deficiency in the [MASK] (GALT) enzyme',... with the risk of ovarian cancer. deficiency in the [mask] (galt) enzyme results in accumulation of galactose and its metabo...
16329101,Q2_Medios,lysozyme,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,LYZ,lyz,3,nao,eco_real,'exon 4 (p.W112R) of the [MASK] gene (LYZ)',"...in exon 2 (p.t70n) and exon 4 (p.w112r) of the [mask] gene (lyz), with both mutations being present on the same allele. thi..."
16333843,Q2_Medios,SFTPB,1,qwen3.6_35b,SP-B,sp-b,4,sim,eco_real,'surfactant protein B (SP-B) deficiency' no titulo,...549c > gaa (121ins2) mutation causing surfactant protein b (sp-b) deficiency. the [mask] gene indel g.1549c > gaa (121ins2) ...
16473015,Q2_Medios,huntingtin,3,gemma4_26b;gemma4_31b;llama3.3_70b,Htt,htt,3,nao,eco_real,'polyglutamine repeat in the [MASK] gene (Htt)',...sorder caused by a polyglutamine repeat in the [mask] gene (htt). mitochondrial defects and protein aggregates are characte...
16944293,Q2_Medios,IFN-gamma receptor (IFNGR)-1 and 2,2,gemma4_31b;qwen3.6_35b,IFNGR-1,ifngr,5,sim,eco_real,"AMBIGUO: gold composto ('IFNGR-1 and 2'); 'IFNGR-2' esta visivel, ou seja parte do proprio gold vazou.","...n +874, in the [mask] gene at positions -56 and +95, in the ifngr-2 gene at the second position of codon 64 (gln64arg), and i..."
17179145,Q2_Medios,UDP-glucuronosyltransferase 1A,2,gemma4_26b;gemma4_31b,UGT1A,ugt1a,5,nao,eco_real,'to study UGT1A oligomerization in live cells',...used fluorescence resonance energy transfer (fret) to study ugt1a oligomerization in live cells. this technique demonstrated ...
18165231,Q2_Medios,CB1R,3,gemma4_31b;llama3.3_70b;qwen3.6_35b,CB1 | CB1 receptors,cb1,3,sim,eco_real,'in a CB1 receptor-dependent manner' no titulo,...ratinocyte differentiation by inducing dna methylation in a cb1 receptor-dependent manner. anandamide (arachidonoylethanola...
18619034,Q2_Medios,peroxiredoxin 6,1,qwen3.6_35b,Prx,prx,3,nao,eco_real,"AMBIGUO: 'Prx' visivel em 'peroxiredoxins (Prx) are a family' e '1-cys Prx subfamily' -- nomeia a FAMILIA, nao especificamente PRDX6.",...f [mask] with the yeast two-hybrid system]. peroxiredoxins (prx) are a family of nonselenium peroxidases that are involved ...
19112833,Q2_Medios,AT1R,3,gemma4_26b;gemma4_31b;llama3.3_70b,AT1,at1,3,sim,eco_real,'ACE gene and AC AT1 gene influence',...conclusions: it seems that i/d polymorphism ace gene and ac at1 gene influence the development of hypertension and lvh in h...
19234517,Q2_Medios,folliculin,1,llama3.3_70b,BHD,bhd,3,nao,eco_real,"AMBIGUO: 'BHD' visivel em 'Birt-Hogg-Dube (BHD) syndrome' -- e a sigla da DOENCA, embora BHD tambem seja alias legitimo de FLCN.",...in mtor activation and renal tumorigenesis. birt-hogg-dube (bhd) syndrome is a tumor-suppressor gene disorder characterized...
19706884,Q2_Medios,T-cell receptor (TCR) alpha and beta,2,gemma4_26b;qwen3.6_35b,TCR | TCR beta,TCR,3,nao,eco_real,'direct assessment of TCR CDR3 diversity',"...up to 10(16) distinct alphabeta pairs, direct assessment of tcr cdr3 diversity has not proved amenable to standard capillar..."
20378180,Q2_Medios,complement component C2,3,gemma4_26b;gemma4_31b;llama3.3_70b,C2,c2,2,nao,eco_real,'in the complement factor B/[MASK] (CFB/C2) locus',... (ivs1 and ivs6) and in the complement factor b/[mask] (cfb/c2) locus (ivs10 and h9l). main outcome measures: allele and g...
20504295,Q2_Medios,Spartin,1,gemma4_31b,SPG20,spg20,5,sim,eco_real,'hereditary spastic paraplegia type 20 (SPG20)',...n is responsible for hereditary spastic paraplegia type 20 (spg20). [mask] is a multifunctional protein that associates with ...
20514075,Q2_Medios,histidine-triad nucleotide-binding protein-1,3,gemma4_26b;gemma4_31b;llama3.3_70b,HINT1,hint1,5,nao,eco_real,'association of the [MASK] (HINT1) gene variants',...association of the [mask] (hint1) gene variants with nicotine dependence. the [mask] gene (h...
20629673,Q2_Medios,Filaggrin,2,gemma4_26b;llama3.3_70b,FLG,flg,3,nao,eco_real,'[MASK] null (FLG) mutations lead to skin barrier disruption',...rom a tertiary dermatology clinic. background: [mask] null (flg) mutations lead to skin barrier disruption with a reduced r...
20655364,Q2_Medios,hcrt,1,qwen3.6_35b,orexin,orexin,6,nao,eco_real,'cerebrospinal fluid hypocretin-1 (orexin A) levels',...cerebrospinal fluid hypocretin-1 (orexin a) levels in mania compared to unipolar depression and heal...
21738396,Q2_Medios,versican,3,gemma4_26b;llama3.3_70b;qwen3.6_35b,VCAN,vcan,4,sim,eco_real,'a new VCAN/[MASK] splice acceptor site mutation' no titulo,...a new vcan/[mask] splice acceptor site mutation in a french wagner fam...
21789713,Q2_Medios,RLN2,2,gemma4_26b;llama3.3_70b,H2 relaxin,h2,2,nao,eco_real,'H2 relaxin-mediated castrate-resistant growth' -- a resposta inteira esta no titulo,...dual blockade of pka and nf-kappab inhibits h2 relaxin-mediated castrate-resistant growth of prostate canc...
22185200,Q2_Medios,CypA,2,gemma4_26b;qwen3.6_35b,Cyclophilin A,cyclophilin a,13,sim,eco_real,'human cyclophilin A and HIV-1 Vpr' no titulo,...the host-pathogen interaction of human cyclophilin a and hiv-1 vpr requires specific n-terminal and novel c-term...
22493371,Q2_Medios,5-HT2B,1,llama3.3_70b,5-HTR2B,htr2b,5,nao,eco_real,"'5-HTR1A, 5-HTR1B, 5-HTR2B and 5-HTR4' -- a resposta literal","...study of the serotonin (5-ht) receptors 5-htr1a, 5-htr1b, 5-htr2b and 5-htr4 in frozen samples of ovary, and benign, borderli..."
22869146,Q2_Medios,microRNA-205,3,gemma4_26b;gemma4_31b;llama3.3_70b,miR-205,mir-205,7,sim,eco_real,'miRNA-205 (miR-205) transcription',...inogenesis. here we show in prostate cancer that mirna-205 (mir-205) transcription is commonly repressed and the mir-205 locus ...
23334847,Q2_Medios,MID1,2,gemma4_26b;gemma4_31b,Midline 1 | midline 1,midline 1,9,nao,eco_real,'the E3 ubiquitin ligase midline 1 promotes' no titulo,...the e3 ubiquitin ligase midline 1 promotes allergen and rhinovirus-induced asthma by inhibiti...
26535939,Q2_Medios,FK506 binding protein 5,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,FKBP5,fkbp5,5,sim,eco_real,'moderation by [MASK] gene (FKBP5)' no titulo,... marijuana dependence: examining moderation by [mask] gene (fkbp5). the current study examined the prospective association be...
26753883,Q2_Medios,T-cell receptor (TCR) beta,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,TCRbeta,TCR,3,nao,eco_real,'requires transient TCR expression for thymic egress',...e cell lymphoma arises in thymocytes and requires transient tcr expression for thymic egress. anaplastic large cell lymphom...
30168048,Q2_Medios,complement 3,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,C3,c3,2,sim,eco_real,'serum [MASK] (C3) level'; 'low serum C3' repetido 9x,...at diagnosis. objectives: we investigated whether low serum c3 level can cross-sectionally estimate severe antineutrophil ...
31881225,Q2_Medios,miR-139,2,gemma4_26b;llama3.3_70b,microRNA-139-5p,microRNA-139-5p,15,nao,eco_real,'the motif for microRNA-139-5p binding' -- a resposta literal,... indicated that the 3'utr of notch1 contained the motif for microrna-139-5p binding. co-transfection with the luciferase reporter conta...
33191341,Q2_Medios,Dickkopf-3,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,DKK3,dkk3,4,nao,eco_real,'Dickkopp-3 (DKK3) has been identified',...ary stenosis in an asymptomatic chinese cohort. dickkopp-3 (dkk3) has been identified to play a protection role against athe...
34637032,Q2_Medios,CHIT1,2,gemma4_26b;gemma4_31b,chitotriosidase,chitotriosidase,15,nao,eco_real,'increased plasma YKL-40 level and chitotriosidase activity' no titulo,...increased plasma ykl-40 level and chitotriosidase activity in cystic fibrosis patients. we investigated plasm...
35993046,Q2_Medios,Receptor Activator of Nuclear Factor-kappaB,2,gemma4_26b;llama3.3_70b,"RANKL 
RANK | RANKL/RANK",rank,4,nao,eco_real,'[MASK] ligand (RANKL)/[MASK] (RANK) gene methylation',...ffect of osteoprotectin (opg)/[mask] ligand (rankl)/[mask] (rank) gene methylation on aortic valve calcified. to evaluate th...
37170124,Q2_Medios,repressor element-1 silencing transcription factor,1,llama3.3_70b,REST,rest,4,sim,eco_real,'USP3 as a protein stabilizer of REST' no titulo,...tinase subfamily identifies usp3 as a protein stabilizer of rest blocking neuronal differentiation and promotes neuroblastom...
10072585,Q3_Baixa_Popularidade,peptidyl prolyl isomerase-like 1,3,gemma4_26b;llama3.3_70b;qwen3.6_35b,PPIL1 | the PPIL1,ppil1,5,sim,eco_real,'reassignment of [MASK] gene (PPIL1)' no titulo,...reassignment of [mask] gene (ppil1) to human chromosome region 6p21.1 by radiation hybrid mapp...
10713113,Q3_Baixa_Popularidade,isovaleryl-CoA dehydrogenase,3,gemma4_26b;gemma4_31b;llama3.3_70b,IVD,ivd,3,sim,eco_real,'deficiency of [MASK] (IVD)',"...nborn error of metabolism caused by a deficiency of [mask] (ivd), a nucleus-encoded, homotetrameric, mitochondrial flavoenz..."
11802782,Q3_Baixa_Popularidade,tandem-PH-domain-containing protein-1,3,gemma4_26b;gemma4_31b;llama3.3_70b,TAPP1,tapp1,5,nao,eco_real,'the tandem-pleckstrin-homology-domain-containing protein TAPP1 interacts',"...at the tandem-pleckstrin-homology-domain-containing protein tapp1 interacts with ptd(3,4)p2 and the multi-pdz-domain-containi..."
12095986,Q3_Baixa_Popularidade,mitochondrial translational initiation factor 3,2,gemma4_26b;gemma4_31b,IF3(mt),if3(mt),7,sim,eco_real,'human [MASK] (IF3(mt)) has been identified',...tiation complex formation with natural mrnas. human [mask] (if3(mt)) has been identified from the human expressed sequence tag ...
12432938,Q3_Baixa_Popularidade,leukotriene B4 12-hydroxydehydrogenase,1,llama3.3_70b,12-LTB4DH,ltb4dh,6,nao,eco_real,'NADP+-dependent [MASK] (12-LTB4DH) activity',...13-pgr was also found to exhibit nadp+-dependent [mask] (12-ltb4dh) activity. these enzymes are considered to be the key enzym...
19240024,Q3_Baixa_Popularidade,Melanoregulin,3,gemma4_26b;gemma4_31b;llama3.3_70b,DSU | Dsu,dsu,3,nao,eco_real,'the product of the [MASK](Dsu) gene',"...pithelial cells. [mask] ([mask]), the product of the [mask](dsu) gene, is a small highly charged protein, hypothesized to p..."
20541370,Q3_Baixa_Popularidade,vesicular glutamate transporter 2,1,llama3.3_70b,"VGLUT2 
VGLUTs",vglut2,6,sim,eco_real,'resequencing of the [MASK] gene (VGLUT2)',...resequencing of the [mask] gene (vglut2) reveals some rare genetic variants that may increase the g...
22821757,Q3_Baixa_Popularidade,SLC45A3,1,gemma4_26b,prostein,prostein,8,sim,eco_real,'loss of [MASK] protein (prostein) expression' no titulo,...loss of [mask] protein (prostein) expression in prostate cancer is associated with [mask]-er...
22952076,Q3_Baixa_Popularidade,NCAN,1,gemma4_26b,neurocan,neurocan,8,sim,eco_real,'studies implicate neurocan in the etiology of mania',...studies in humans and mice implicate neurocan in the etiology of mania. objective: genome-wide associatio...
23355646,Q3_Baixa_Popularidade,ZP2,2,gemma4_26b;llama3.3_70b,ZPA | ZPA/2,zpa,3,sim,eco_real,"'zona pellucida (ZP) glycoproteins, ZPA/2, ZPB/4 and ZPC/3'","...m proteins interact with zona pellucida (zp) glycoproteins, zpa/2, zpb/4 and zpc/3? summary answer: co-precipitation experi..."
24120948,Q3_Baixa_Popularidade,MicroRNAs-449a and -449b,3,gemma4_26b;gemma4_31b;llama3.3_70b,miRs-449a and -449b,mirs,4,sim,eco_real,'expressions of miRs-449a and -449b' -- resposta literal,...s to illustrate the relationship between the expressions of mirs-449a and -449b to retinoblastoma proliferation and apoptosi...
24972756,Q3_Baixa_Popularidade,NFKB activating protein-like,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,"NKAPL | NKAPL, nuclear kappa-light chain protein",nkapl,5,sim,eco_real,'association study of the [MASK] gene (NKAPL)' no titulo,...resequencing and association study of the [mask] gene (nkapl) in schizophrenia. objectives: schizophrenia is a highly in...
29062717,Q3_Baixa_Popularidade,alpha-N-acetylgalactosaminidase,1,llama3.3_70b,NAGA,naga,4,sim,eco_real,"'lysosomal enzyme [MASK] (NAGA, EC 3.2.1.49)'","...y to determine the activity of the lysosomal enzyme [mask] (naga, ec 3.2.1.49) in human serum. it is based on the use of a n..."
30053862,Q3_Baixa_Popularidade,TP53RK,1,llama3.3_70b,TPRKB,tprkb,5,nao,eco_real,"AMBIGUO: 'TPRKB' visivel em 'OSGEP, [MASK], TPRKB, and LAGE3'. A string estava disponivel, mas TPRKB e gene DIFERENTE do gold TP53RK -- erro do NEBB, nao do detector de eco.","... the genes encoding the four keops subunits: osgep, [mask], tprkb, and lage3. case presentation: we detected a novel homozygo..."
31416616,Q3_Baixa_Popularidade,apoptosis related protein 3,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,APR3,apr3,4,sim,eco_real,'NELL-1 and [MASK](APR3) expression levels',...ng protein of nell-1. results showed that nell-1 and [mask](apr3) expression levels were high in odontoblasts and inversely ...
31932686,Q3_Baixa_Popularidade,Lck interacting transmembrane adaptor 1,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,LIME1,lime1,5,sim,eco_real,"'in the [MASK] gene (LIME1), for example'","...dence of ase in one or both cell types. in the [mask] gene (lime1), for example, we were able to show that in both cell types..."
32332102,Q3_Baixa_Popularidade,TRAPgamma,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,SSR3 | SSR3-CDG,ssr3,4,nao,eco_real,'homozygous start codon variant in [MASK] (SSR3)',"... a patient with a homozygous start codon variant in [mask] (ssr3), absence of [mask] causes disruption of the trap complex, ..."
32367058,Q3_Baixa_Popularidade,sorbitol dehydrogenase,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,SORD,sord,4,sim,eco_real,'biallelic mutations in SORD cause' no titulo,...biallelic mutations in sord cause a common and potentially treatable hereditary neuropa...
33467738,Q3_Baixa_Popularidade,"miR-16, -29a and -134",1,llama3.3_70b,miR-16-5p,mir-16,6,sim,eco_real,"'elevated miR-16-5p, -29a-3p, and -134-5p levels' -- resposta literal","... measured using quantitative real time pcr (qpcr). elevated mir-16-5p, -29a-3p, and -134-5p levels were observed in women, who..."
37822942,Q3_Baixa_Popularidade,MicroRNA-510,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,miR-510-5p,mir-510,7,sim,eco_real,'we previously identified miR-510-5p as a novel oncomir',...mechanism of cav1 loss is unknown. we previously identified mir-510-5p as a novel oncomir and propose here that the high levels...
10543404,Q4_Cauda_Longa,"PABP4, 1, and 2",1,llama3.3_70b,PABP4,pabp4,5,nao,eco_real,"'plus four pseudogenes (1, 2, 3, and PABP4)'. Gold malformado ('PABP4, 1, and 2').","...abp (ipabp), and pabp3, plus four pseudogenes (1, 2, 3, and pabp4). in situ hybridization of pabp3 cdna as the probe on metap..."
11054531,Q4_Cauda_Longa,keratinocyte differentiation-associated protein,3,gemma4_26b;llama3.3_70b;qwen3.6_35b,Kdap,kdap,4,sim,eco_real,"'KDAP, a novel gene associated with' -- primeira palavra do titulo","...kdap, a novel gene associated with the stratification of the epi..."
12869548,Q4_Cauda_Longa,Rheb1,2,gemma4_31b;qwen3.6_35b,Rheb,rheb,4,nao,eco_real,'dominant negative mutants of Rheb GTPase' no titulo,...identification of dominant negative mutants of rheb gtpase and their use to implicate the involvement of human ...
18844450,Q4_Cauda_Longa,testis serine protease 1,2,gemma4_26b;llama3.3_70b,T-SP1,t-sp1,5,nao,eco_real,'T-SP1: a novel serine protease-like protein' -- primeira palavra do titulo,...t-sp1: a novel serine protease-like protein predominantly express...
