modelo,estrato,pmid,gold,resposta,pubs_gold,pubs_chutado,razao,chute_no_abstract
gemma4_31b,Q1_Super_Populares,24280143,RHOA,WNT1,1175,269,0.22893617021276597,False
gemma4_31b,Q1_Super_Populares,27423588,BIRC5,COL4A1,1365,264,0.1934065934065934,False
gemma4_31b,Q1_Super_Populares,39191344,Mapk14,LC3,1467,397,0.27062031356509886,False
gemma4_31b,Q1_Super_Populares,22673112,galectin-3,CRP,1065,1,0.0009389671361502347,False
gemma4_31b,Q1_Super_Populares,27507606,TLR2,TLR4,1624,2778,1.7105911330049262,False
gemma4_31b,Q1_Super_Populares,31357837,IGF-1R,PIK3R2,1274,248,0.1946624803767661,False
gemma4_31b,Q1_Super_Populares,31661551,MMP2,RhoA,1978,1175,0.5940343781597573,False
gemma4_31b,Q1_Super_Populares,12858534,HIF-1 alpha,VEGF,3911,5214,1.3331628739452825,False
gemma4_31b,Q1_Super_Populares,16547804,interleukins -6 and -8,IL-6,2502,5468,2.185451638689049,False
gemma4_31b,Q1_Super_Populares,25425967,interleukin-1alpha,AREG,1010,234,0.2316831683168317,False
gemma4_31b,Q1_Super_Populares,28256105,CYP2C19,CYP1A1,1111,1118,1.0063006300630064,False
gemma4_31b,Q1_Super_Populares,36737794,CD54,ALDH1,1358,407,0.29970544918998526,False
gemma4_31b,Q1_Super_Populares,38368381,specificity protein 1,RBBP7,1342,337,0.2511177347242921,True
gemma4_31b,Q1_Super_Populares,24721839,C-kit,SNAI2,1173,422,0.3597612958226769,False
gemma4_31b,Q1_Super_Populares,26073399,apolipoprotein A-I,LCAT,1129,197,0.1744906997342781,True
gemma4_31b,Q1_Super_Populares,32285172,TGf-beta1,CCL2,5008,1642,0.3278753993610224,False
gemma4_31b,Q1_Super_Populares,20971508,CD44,CD11b,1496,352,0.23529411764705882,False
gemma4_31b,Q1_Super_Populares,21475975,RhoA,CD147,1175,780,0.6638297872340425,False
gemma4_31b,Q1_Super_Populares,25684485,glutathione S-transferase P1,TWIST,1727,746,0.43196294151708164,True
gemma4_31b,Q1_Super_Populares,36172747,ctla-4,PD-1,1339,1252,0.935026138909634,False
gemma4_31b,Q1_Super_Populares,11895912,hMLH1,XRCC3,1112,522,0.4694244604316547,False
gemma4_31b,Q1_Super_Populares,17637462,XRCC1,XPC,1351,452,0.33456698741672836,False
gemma4_31b,Q1_Super_Populares,20301468,LMNA,LAMA2,1094,135,0.12340036563071298,False
gemma4_31b,Q1_Super_Populares,20392877,cyclin D1,PS2,1799,260,0.14452473596442467,False
gemma4_31b,Q1_Super_Populares,22828925,ERK1,MEK1,1498,527,0.35180240320427236,False
gemma4_31b,Q1_Super_Populares,26635038,STAT1,STAT3,1158,3707,3.2012089810017272,False
gemma4_31b,Q1_Super_Populares,30115631,E-cadherin,NANOG,2236,342,0.15295169946332737,False
gemma4_31b,Q1_Super_Populares,37326977,IL-8,TNF-alpha,2502,6448,2.5771382893685053,False
gemma4_31b,Q1_Super_Populares,37916628,CYP2D6,GCLM,1089,128,0.11753902662993572,False
gemma4_31b,Q1_Super_Populares,15598682,RhoA,Rho,1175,248,0.21106382978723404,True
gemma4_31b,Q1_Super_Populares,22301914,paraoxonase 1,LEP,1283,1914,1.4918160561184723,False
gemma4_31b,Q1_Super_Populares,30266980,interleukin-8,IL-6,2502,5468,2.185451638689049,False
gemma4_31b,Q1_Super_Populares,12748184,RhoA,Rho,1175,248,0.21106382978723404,True
gemma4_31b,Q1_Super_Populares,19845758,FoxP3,TLR4,1171,2778,2.372331340734415,True
gemma4_31b,Q1_Super_Populares,20532959,Paraoxonase 1,MTHFR,1283,3864,3.0116913484021826,False
gemma4_31b,Q1_Super_Populares,22499302,osteopontin,VEGF,1206,5214,4.323383084577115,False
gemma4_31b,Q1_Super_Populares,23573235,Bcl2,Ki-67,2227,1035,0.4647507858105074,False
gemma4_31b,Q1_Super_Populares,29903026,IFN-gamma,IL-6R,2159,518,0.2399258916164891,False
gemma4_31b,Q1_Super_Populares,3022150,gp170,MRP,2567,455,0.17724970783015193,False
gemma4_31b,Q1_Super_Populares,7600101,CBP35,CBP,1065,67,0.06291079812206572,True
gemma4_31b,Q1_Super_Populares,16915393,paraoxonase 1,GSTM1,1283,2270,1.769290724863601,False
gemma4_31b,Q1_Super_Populares,32541093,YAP1,SIRT1,1524,1828,1.1994750656167978,False
gemma4_31b,Q1_Super_Populares,22986536,Notch1,STAT3,1591,3707,2.3299811439346323,False
gemma4_31b,Q1_Super_Populares,23653000,CXCL12,HIF1A,1471,3911,2.6587355540448674,False
gemma4_31b,Q1_Super_Populares,30257941,ERbeta,PTEN,1278,2820,2.2065727699530515,False
gemma4_31b,Q1_Super_Populares,30797824,HLA-C,HLA-G,1113,984,0.8840970350404312,False
gemma4_31b,Q1_Super_Populares,33530501,IL-17A,TNF,1656,6448,3.893719806763285,False
gemma4_31b,Q1_Super_Populares,16395669,GSTP1,XRCC1,1727,1351,0.7822814128546612,True
gemma4_31b,Q1_Super_Populares,18597093,VEGF,APOA1,5214,1129,0.2165324127349444,False
gemma4_31b,Q1_Super_Populares,19933216,GSTM1,SERPINA1,2270,763,0.33612334801762117,True
gemma4_31b,Q1_Super_Populares,23568005,Cyclin D1,p53,1799,11629,6.464146748193441,False
gemma4_31b,Q1_Super_Populares,15821810,factor V Leiden,F2,1345,1489,1.1070631970260223,False
gemma4_31b,Q1_Super_Populares,15858598,IFNG,IL17A,2159,1656,0.7670217693376563,False
gemma4_31b,Q1_Super_Populares,23559006,GSK-3beta,Akt,1566,3746,2.392081736909323,False
gemma4_31b,Q1_Super_Populares,24271034,androgen receptor,SRY,2712,194,0.0715339233038348,False
gemma4_31b,Q1_Super_Populares,28956745,Peroxisome Proliferator-Activated Receptor-gamma2,ADIPOQ,2278,2464,1.0816505706760315,False
gemma4_31b,Q1_Super_Populares,29742291,PD-1,PD-L1,1252,2649,2.115814696485623,True
gemma4_31b,Q1_Super_Populares,29950413,STAT3,OCT4,3707,688,0.1855948206096574,False
gemma4_31b,Q1_Super_Populares,32916992,LRRK2,SIRT1,1110,1828,1.646846846846847,False
gemma4_31b,Q1_Super_Populares,20541434,leptin,adiponectin,1914,2464,1.2873563218390804,False
gemma4_31b,Q1_Super_Populares,25051498,IFNgamma,IFN,2159,377,0.174617878647522,True
gemma4_31b,Q1_Super_Populares,29358618,EZH2,TET2,1554,474,0.305019305019305,False
gemma4_31b,Q1_Super_Populares,37816710,SIRT1,HK2,1828,332,0.18161925601750548,False
gemma4_31b,Q1_Super_Populares,12417054,Angiotensinogen,AGTR1,1161,996,0.8578811369509044,False
gemma4_31b,Q1_Super_Populares,20658730,Bcl-2,c-myc,2227,2704,1.2141894925909296,False
gemma4_31b,Q1_Super_Populares,21524306,JNK,p21,1060,7,0.006603773584905661,False
gemma4_31b,Q1_Super_Populares,16160620,dopamine D2 and D3 receptors,DRD3,1329,426,0.32054176072234764,True
gemma4_31b,Q1_Super_Populares,21061795,bcl-2,p53,2227,11629,5.221823080377189,False
gemma4_31b,Q1_Super_Populares,21320563,Toll-like receptor 2,SLC11A1,1624,206,0.1268472906403941,False
gemma4_31b,Q1_Super_Populares,27535224,ATM,NFKB1,1579,3397,2.1513616212792908,False
gemma4_31b,Q1_Super_Populares,17106238,p16,KRAS,2699,3056,1.132271211559837,False
gemma4_31b,Q1_Super_Populares,20072139,CTLA4,TNFAIP3,1339,541,0.40403286034353997,False
gemma4_31b,Q1_Super_Populares,22883195,caveolin-1,Adiponectin,1228,2464,2.006514657980456,False
gemma4_31b,Q1_Super_Populares,25381333,CYP2D6,CYP3A4,1089,971,0.891643709825528,False
gemma4_31b,Q1_Super_Populares,30704758,MMP9,MMP-2,3162,1978,0.6255534471853258,False
gemma4_31b,Q1_Super_Populares,25556445,insulin-like growth factor 1 receptor,SIRT1,1274,1828,1.434850863422292,False
gemma4_31b,Q1_Super_Populares,27058219,prothrombin,F5,1489,1345,0.9032907991940899,False
gemma4_31b,Q1_Super_Populares,18085494,interleukin-1alpha,TNF-alpha,1010,6448,6.3841584158415845,False
gemma4_31b,Q1_Super_Populares,28383562,poly(ADP-ribose) polymerase-1,RIPK1,1610,551,0.3422360248447205,False
gemma4_31b,Q1_Super_Populares,32921413,PPARgamma,GLUT4,2278,230,0.1009657594381036,False
gemma4_31b,Q1_Super_Populares,33117339,IL18,TNF,1191,6448,5.413937867338371,False
gemma4_31b,Q1_Super_Populares,15811326,p16,HUWE1,2699,421,0.15598369766580214,False
gemma4_31b,Q1_Super_Populares,23543084,XRCC1,OGG1,1351,656,0.4855662472242783,False
gemma4_31b,Q1_Super_Populares,27192561,STAT3,Smad3,3707,1034,0.2789317507418398,False
gemma4_31b,Q1_Super_Populares,17164408,IGF1,PI3K,2076,1725,0.8309248554913294,False
gemma4_31b,Q1_Super_Populares,23270673,C-reactive protein,TNF-alpha,2459,6448,2.6222041480276537,False
gemma4_31b,Q1_Super_Populares,24906341,XRCC1,XPA,1351,273,0.20207253886010362,False
gemma4_31b,Q1_Super_Populares,26096306,EZH2,p21,1554,7,0.0045045045045045045,False
gemma4_31b,Q1_Super_Populares,23158993,Foxp3,IL-7,1171,310,0.26473099914602904,True
gemma4_31b,Q1_Super_Populares,30902832,Her2,Myc,3357,2704,0.8054810843014596,False
gemma4_31b,Q1_Super_Populares,33966039,EZH2,SNAIL1,1554,676,0.435006435006435,False
gemma4_31b,Q1_Super_Populares,12186939,c-Jun,Snail,1330,676,0.5082706766917293,False
gemma4_31b,Q1_Super_Populares,18552362,vitamin D receptor,CYP27B1,2492,227,0.09109149277688604,False
gemma4_31b,Q1_Super_Populares,19152241,interleukin-18,MTHFR,1191,3864,3.2443324937027707,False
gemma4_31b,Q1_Super_Populares,20693286,ERK1/2,ERK,1498,2345,1.5654205607476634,True
gemma4_31b,Q1_Super_Populares,21590492,FAK,AKT,1103,3746,3.3961922030825025,True
gemma4_31b,Q1_Super_Populares,30593723,EZH2,DNMT1,1554,884,0.5688545688545689,False
gemma4_31b,Q1_Super_Populares,31111520,p16,ETV1,2699,111,0.041126343090033345,False
gemma4_31b,Q1_Super_Populares,21948293,Vitamin d receptor,MTHFR,2492,3864,1.550561797752809,False
gemma4_31b,Q1_Super_Populares,25854163,STAT3,SRF,3707,233,0.06285405988670084,False
gemma4_31b,Q1_Super_Populares,32770964,HO-1,adiponectin,1207,2464,2.04142502071251,False
gemma4_31b,Q1_Super_Populares,38779680,Plasminogen activator inhibitor-1,IL-6,1549,5468,3.5300193673337636,False
gemma4_31b,Q1_Super_Populares,12950120,Angiotensinogen,ACE,1161,2771,2.3867355727820843,False
gemma4_31b,Q1_Super_Populares,17724596,toll-like receptor-4 and 8,TNF-alpha,2778,6448,2.3210943124550036,False
gemma4_31b,Q1_Super_Populares,24522376,Akt,PI3K,3746,1725,0.4604911906033102,True
gemma4_31b,Q1_Super_Populares,27113703,CYP 3A4 and 1A1,CYP1A2,1118,512,0.45796064400715564,False
gemma4_31b,Q1_Super_Populares,30784360,NF-kappaB,PIM,3397,301,0.08860759493670886,True
gemma4_31b,Q1_Super_Populares,19349390,interleukin-6,TNF-alpha,5468,6448,1.179224579370885,False
gemma4_31b,Q1_Super_Populares,19750329,CYP1A1,GSTM1,1118,2270,2.0304114490161003,False
gemma4_31b,Q1_Super_Populares,37379210,p53,IFNAR,11629,209,0.017972310602803337,False
gemma4_31b,Q1_Super_Populares,9449720,bax,bak,1126,372,0.33037300177619894,False
gemma4_31b,Q1_Super_Populares,10480607,von Willebrand factor,CD31,1035,338,0.32657004830917874,False
gemma4_31b,Q1_Super_Populares,16359991,Leptin,GDF9,1914,111,0.05799373040752351,False
gemma4_31b,Q1_Super_Populares,18021343,CYP2C19,VKORC1,1111,462,0.4158415841584158,False
gemma4_31b,Q1_Super_Populares,21824286,ATM,p53,1579,11629,7.36478784040532,True
gemma4_31b,Q1_Super_Populares,22035595,adiponectin,CRP,2464,1,0.00040584415584415587,True
gemma4_31b,Q1_Super_Populares,31150457,EGFR,KRAS,6689,3056,0.4568694872178203,False
gemma4_31b,Q1_Super_Populares,36807750,RB1,PIK3CA,1426,1725,1.2096774193548387,True
gemma4_31b,Q1_Super_Populares,15948239,leptin,adiponectin,1914,2464,1.2873563218390804,False
gemma4_31b,Q1_Super_Populares,22619175,mammalian target of rapamycin,Akt,2569,3746,1.4581549240949785,True
gemma4_31b,Q1_Super_Populares,22984553,BRCA1/2,BRCA1,2214,3456,1.5609756097560976,False
gemma4_31b,Q1_Super_Populares,27736875,NOTCH1,HES1,1591,60,0.03771213073538655,False
gemma4_31b,Q1_Super_Populares,18237245,cyclin D1,TOP2A,1799,692,0.38465814341300725,False
gemma4_31b,Q1_Super_Populares,12135330,Angiotensin-converting enzyme,AGT,2771,1161,0.4189823168531216,False
gemma4_31b,Q1_Super_Populares,18547262,BCL1,F8,1799,680,0.3779877709838799,False
gemma4_31b,Q1_Super_Populares,19826003,CREB-binding protein,securin,1018,313,0.3074656188605108,False
gemma4_31b,Q1_Super_Populares,30628725,FAK,Src,1103,1520,1.3780598368087036,False
gemma4_31b,Q1_Super_Populares,19109192,IL-10,TNF-alpha,3484,6448,1.8507462686567164,False
gemma4_31b,Q1_Super_Populares,21194879,PTEN,APC,2820,1025,0.36347517730496454,False
gemma4_31b,Q1_Super_Populares,25344320,beta-catenin,Pten,3367,2820,0.8375408375408375,False
gemma4_31b,Q1_Super_Populares,26420348,matrix metalloproteinase 9,EGFR,3162,6689,2.1154332700822263,False
gemma4_31b,Q1_Super_Populares,28242758,EZH2,PLK1,1554,935,0.6016731016731016,False
gemma4_31b,Q1_Super_Populares,1351056,neu,NRG1,3357,571,0.17009234435507894,False
gemma4_31b,Q1_Super_Populares,24078094,CDKN1B,GSTP1,1107,1727,1.5600722673893406,False
gemma4_31b,Q1_Super_Populares,25311665,STAT1,STAT3,1158,3707,3.2012089810017272,False
gemma4_31b,Q1_Super_Populares,12687213,IL-10,IL-6,3484,5468,1.5694603903559128,False
gemma4_31b,Q1_Super_Populares,15104566,vitamin D receptor,CYP27B1,2492,227,0.09109149277688604,False
gemma4_31b,Q1_Super_Populares,22389297,FOXP3,Survivin,1171,1365,1.165670367207515,False
gemma4_31b,Q1_Super_Populares,19621391,Cyclooxygenase-2,COX-2,2314,164,0.07087294727744166,True
gemma4_31b,Q1_Super_Populares,21675959,p53,Edr2,11629,87,0.007481296758104738,True
gemma4_31b,Q1_Super_Populares,20827430,GSTP1,TP53,1727,11629,6.733642154024319,False
gemma4_31b,Q1_Super_Populares,27094578,beta1 integrin,Ets-1,1513,454,0.30006609385327165,True
gemma4_31b,Q1_Super_Populares,37968472,PIK3CA,TP53,1725,11629,6.741449275362319,False
gemma4_31b,Q1_Super_Populares,12181570,Rac1,Rac,1346,3746,2.7830609212481425,True
gemma4_31b,Q1_Super_Populares,16781717,apolipoprotein A1/C3/A4/A5,APOA5,1129,462,0.4092116917626218,True
gemma4_31b,Q1_Super_Populares,34081760,EGFR,CETP,6689,707,0.1056959186724473,False
gemma4_31b,Q1_Super_Populares,36640339,ATM,TP53,1579,11629,7.36478784040532,False
gemma4_31b,Q1_Super_Populares,23293110,VEGFR-2,VEGF,1105,5214,4.718552036199095,False
gemma4_31b,Q1_Super_Populares,14671106,ERK1,JNK1,1498,1060,0.7076101468624834,False
gemma4_31b,Q1_Super_Populares,22628023,IL-10,TNF,3484,6448,1.8507462686567164,False
gemma4_31b,Q1_Super_Populares,26457672,c-Src,Syk,1520,591,0.3888157894736842,False
gemma4_31b,Q1_Super_Populares,26937962,GSTM1,GSTT1,2270,1900,0.8370044052863436,True
gemma4_31b,Q1_Super_Populares,29111166,caveolin-1,PIK3CA,1228,1725,1.4047231270358307,False
gemma4_31b,Q1_Super_Populares,31609157,CTLA-4,CD10,1339,372,0.27781926811053026,False
gemma4_31b,Q1_Super_Populares,16782382,cyclooxygenase-2,COX-2,2314,164,0.07087294727744166,False
gemma4_31b,Q1_Super_Populares,21485219,MMP-9,CD44,3162,1496,0.4731182795698925,False
gemma4_31b,Q1_Super_Populares,25810340,SMAD3,Akt,1034,3746,3.622823984526112,True
gemma4_31b,Q2_Medios,10982185,JAK3,RAG1,276,159,0.5760869565217391,False
gemma4_31b,Q2_Medios,15454735,CYP2A6,CYP2D6,318,1089,3.4245283018867925,False
gemma4_31b,Q2_Medios,22425648,Suppressor of cytokine signaling 3,NPY,554,351,0.6335740072202166,True
gemma4_31b,Q2_Medios,24101588,APOBEC3C,APOBEC3G,151,640,4.23841059602649,False
gemma4_31b,Q2_Medios,24209998,Wnt3A.,TCF4,240,317,1.3208333333333333,False
gemma4_31b,Q2_Medios,25857925,MicroRNA29a,miR-140,424,266,0.6273584905660378,False
gemma4_31b,Q2_Medios,27339399,SOCS1,SIRT1,485,1828,3.7690721649484535,False
gemma4_31b,Q2_Medios,31037158,HOXB13,CDX2,156,398,2.551282051282051,False
gemma4_31b,Q2_Medios,31970886,HOXB9,HOXD10,106,73,0.6886792452830188,False
gemma4_31b,Q2_Medios,23601003,HLA-DP,PRF1,429,233,0.5431235431235432,False
gemma4_31b,Q2_Medios,25008994,Dectin-1,TLR4,152,2778,18.276315789473685,False
gemma4_31b,Q2_Medios,2308864,pG2,CYP11B1,188,129,0.6861702127659575,False
gemma4_31b,Q2_Medios,18287540,NDUFA9,NDUFS2,142,178,1.2535211267605635,False
gemma4_31b,Q2_Medios,18301763,TRPV6,CACNA1C,141,398,2.8226950354609928,False
gemma4_31b,Q2_Medios,28267437,DEPTOR,PTEN,104,2820,27.115384615384617,False
gemma4_31b,Q2_Medios,29227529,NS5ATP9,SIRT1,108,1828,16.925925925925927,False
gemma4_31b,Q2_Medios,29604056,CRIPTO,SNAI1,120,676,5.633333333333334,False
gemma4_31b,Q2_Medios,32892482,BACH2,SFPQ,120,468,3.9,False
gemma4_31b,Q2_Medios,35069550,HuR,FUS,811,768,0.9469790382244143,False
gemma4_31b,Q2_Medios,37522198,CD59,CD147,290,780,2.689655172413793,False
gemma4_31b,Q2_Medios,12388095,ATRC1,SLC1A5,102,300,2.9411764705882355,False
gemma4_31b,Q2_Medios,29233503,FOXA2,FOXO3,195,807,4.138461538461539,False
gemma4_31b,Q2_Medios,30578397,BMP9,EIF2AK4,141,148,1.049645390070922,False
gemma4_31b,Q2_Medios,36233342,RAI14,SNHG12,158,67,0.4240506329113924,False
gemma4_31b,Q2_Medios,12557231,MEL1,CBFB,110,194,1.7636363636363637,False
gemma4_31b,Q2_Medios,15548692,WWOX,WWP2,334,190,0.5688622754491018,False
gemma4_31b,Q2_Medios,18275081,PABPN1,FMRP,239,928,3.8828451882845187,False
gemma4_31b,Q2_Medios,26700805,GEMIN1,SURVIVIN,300,1365,4.55,False
gemma4_31b,Q2_Medios,29931229,RBPJ,KLF4,244,543,2.2254098360655736,False
gemma4_31b,Q2_Medios,36891052,APOC1,POSTN,216,415,1.9212962962962963,False
gemma4_31b,Q2_Medios,10852966,p62dok,SLP-76,106,179,1.6886792452830188,False
gemma4_31b,Q2_Medios,20375790,LyGDI,GEF-H1,109,219,2.0091743119266057,False
gemma4_31b,Q2_Medios,21410658,HLA-DRB4,HLA-DRB1,194,2875,14.81958762886598,False
gemma4_31b,Q2_Medios,22974333,Cdc6,SIRT1,192,1828,9.520833333333334,False
gemma4_31b,Q2_Medios,28165497,Wnt7a,Sox9,108,569,5.268518518518518,False
gemma4_31b,Q2_Medios,31235784,DARPP-32,DP,116,87,0.75,True
gemma4_31b,Q2_Medios,17363767,EPHX1,GSTM1,427,2270,5.31615925058548,False
gemma4_31b,Q2_Medios,30709905,RAB8A,RAB7A,230,378,1.6434782608695653,True
gemma4_31b,Q2_Medios,37541622,WNT7A,WNT5A,108,482,4.462962962962963,False
gemma4_31b,Q2_Medios,21880146,Mesothelin,Snail,179,676,3.776536312849162,False
gemma4_31b,Q2_Medios,22619278,pim-1,Akt,301,3746,12.445182724252492,False
gemma4_31b,Q2_Medios,12649372,PEPT1,PAT1,101,53,0.5247524752475248,False
gemma4_31b,Q2_Medios,20853600,L-arginine amidinohydrolase,ARG1,119,283,2.3781512605042017,False
gemma4_31b,Q2_Medios,23794184,IL-31,ST2,116,293,2.5258620689655173,False
gemma4_31b,Q2_Medios,23975336,SGLT1,GLUT4,129,230,1.7829457364341086,False
gemma4_31b,Q2_Medios,37100772,polyadenylate-binding protein 1,VPS34,549,272,0.49544626593806923,False
gemma4_31b,Q2_Medios,20546165,LNK,PTPN22,123,590,4.796747967479675,False
gemma4_31b,Q2_Medios,22882268,PINX1,TP53,119,11629,97.72268907563026,False
gemma4_31b,Q2_Medios,23329754,FGF19,GIP,155,106,0.6838709677419355,False
gemma4_31b,Q2_Medios,23364988,lysosomal-associated transmembrane protein 4 beta,LBX1,106,35,0.330188679245283,False
gemma4_31b,Q2_Medios,25303370,interleukin-22,IL1B,421,3216,7.6389548693586695,False
gemma4_31b,Q2_Medios,27501781,BTNL2,HLA-A,104,1682,16.173076923076923,False
gemma4_31b,Q2_Medios,38146125,CXCL16,CXCL10,206,776,3.766990291262136,False
gemma4_31b,Q2_Medios,23621219,HDAC6,Snail,523,676,1.2925430210325048,False
gemma4_31b,Q2_Medios,26803106,Sirtuin 6,Sirt1,368,1828,4.967391304347826,False
gemma4_31b,Q2_Medios,10224125,AF6,Crk,175,345,1.9714285714285715,False
gemma4_31b,Q2_Medios,32205441,polynucleotide kinase 3'-phosphatase,XRCC4,122,291,2.3852459016393444,False
gemma4_31b,Q2_Medios,11590181,giantin,GM130,143,205,1.4335664335664335,False
gemma4_31b,Q2_Medios,24574362,ACTN4,CCND1,423,1799,4.252955082742317,False
gemma4_31b,Q2_Medios,27517149,SNHG1,LINC00152,146,100,0.684931506849315,False
gemma4_31b,Q2_Medios,29407292,Interleukin-17F,IL10,259,3484,13.451737451737452,False
gemma4_31b,Q2_Medios,12169206,FHIT,RASSF1,357,521,1.4593837535014005,False
gemma4_31b,Q2_Medios,12234138,NRAMP1,VDR,206,2492,12.097087378640778,False
gemma4_31b,Q2_Medios,19332728,OPRT,MTHFR,128,3864,30.1875,True
gemma4_31b,Q2_Medios,30045065,RET,NTRK3,996,208,0.20883534136546184,True
gemma4_31b,Q2_Medios,31425729,transforming growth factor beta2,NRAS,387,686,1.772609819121447,False
gemma4_31b,Q2_Medios,32970737,INHBA,ACVR2A,320,141,0.440625,False
gemma4_31b,Q2_Medios,18385516,GRASP55,GRASP65,127,78,0.6141732283464567,False
gemma4_31b,Q2_Medios,19118547,Ankyrin repeat domain 28,ANKRD11,107,97,0.9065420560747663,False
gemma4_31b,Q2_Medios,24695378,CDKAL1,FTO,297,1053,3.5454545454545454,False
gemma4_31b,Q2_Medios,16517613,adrenomedullin,CRH,401,229,0.571072319201995,False
gemma4_31b,Q2_Medios,18353079,IL12RB2,IFNG,106,2159,20.367924528301888,False
gemma4_31b,Q2_Medios,22844406,HOXB7,HOXB13,115,156,1.3565217391304347,False
gemma4_31b,Q2_Medios,24766303,PLCE1,DNMT1,192,884,4.604166666666667,False
gemma4_31b,Q2_Medios,27103069,RAB8a,RAB39a,230,49,0.21304347826086956,False
gemma4_31b,Q2_Medios,28826039,vaspin,AMH,166,419,2.5240963855421685,False
gemma4_31b,Q2_Medios,35025009,Integrin alpha6,SIAH2,372,133,0.3575268817204301,False
gemma4_31b,Q2_Medios,38896446,Tribbles1,TRIB3,131,179,1.366412213740458,False
gemma4_31b,Q2_Medios,7896837,Lck,Hck,564,257,0.45567375886524825,False
gemma4_31b,Q2_Medios,14677049,PPARalpha,RXRalpha,656,518,0.7896341463414634,False
gemma4_31b,Q2_Medios,17192875,TGFBR3,SMAD4,172,918,5.337209302325581,False
gemma4_31b,Q2_Medios,18592168,LRP8,LDLR,147,897,6.1020408163265305,False
gemma4_31b,Q2_Medios,19299407,CETP,APOA1,707,1129,1.5968882602545968,False
gemma4_31b,Q2_Medios,23775149,IGF2,H19,749,570,0.7610146862483311,True
gemma4_31b,Q2_Medios,28724915,Smurf2,FBXO22,213,103,0.4835680751173709,False
gemma4_31b,Q2_Medios,29065392,Ku80,XRCC4,720,291,0.4041666666666667,False
gemma4_31b,Q2_Medios,34694182,LTA4H,MMP12,148,216,1.4594594594594594,False
gemma4_31b,Q2_Medios,35261819,CCAT1,SNHG12,121,67,0.5537190082644629,False
gemma4_31b,Q2_Medios,37442413,APOBEC3A,APOBEC3G,161,640,3.9751552795031055,False
gemma4_31b,Q2_Medios,22026458,Glypican-3,TRPS1,260,176,0.676923076923077,False
gemma4_31b,Q2_Medios,29561707,INO80,CD133,108,631,5.842592592592593,True
gemma4_31b,Q2_Medios,19415485,MUC1,PTPN11,959,947,0.9874869655891554,False
gemma4_31b,Q2_Medios,20080080,Lp-PLA(2),PON1,337,1283,3.807121661721068,False
gemma4_31b,Q2_Medios,23166521,poly(A)-binding protein nuclear 1,CPSF4,239,103,0.4309623430962343,False
gemma4_31b,Q2_Medios,23325686,Ezrin,EHD1,675,146,0.2162962962962963,False
gemma4_31b,Q2_Medios,23487342,PTPRA,SLC2A4,137,230,1.6788321167883211,False
