modelo,estrato,pmid,gold_answer,resposta_modelo,alias_nebb,termo_que_casou,origem_termo,comprimento_termo,casou_por_alias,casou_por_resposta,contexto,veredito_manual,nota_revisor
gemma4_26b,Q4_Cauda_Longa,34535085,microRNA-1278,miRNA-1278,mirna-1278,mirna-1278,alias_nebb,10,True,True,"...rase reporter assay detect the interaction of circ_0007059, mirna-1278, and shp-1. glomerulonephritis was performed in a mouse mod...",,
gemma4_26b,Q4_Cauda_Longa,35034552,ADORA2A antisense RNA 1,ADORA2A-AS1,adora2a-as1,adora2a-as1,alias_nebb,11,True,True,...he potential role and molecular mechanism of lncrna [mask] (adora2a-as1) in cml. we found that the expression of adora2a-as1 was up...,,
gemma4_26b,Q4_Cauda_Longa,35050429,miR-4510,miRNA-4510,mirna-4510,mirna-4510,alias_nebb,10,True,True,...cantly lower than that in the adjacent tissues (p < 0.001). mirna-4510 expression in gpc3-gc was significantly lower than that in ...,,
gemma4_26b,Q4_Cauda_Longa,35388952,DLG1 Antisense RNA 1,DLG1-AS1,dlg1-as1,dlg1-as1,alias_nebb,8,True,True,...lncrna dlg1-as1 promotes cervical cancer cell gemcitabine resistance by reg...,,
gemma4_26b,Q4_Cauda_Longa,37014032,Myoregulin,MLN,mln,mln,alias_nebb,3,True,True,"...cidic residue in the calcium pump regulator [mask]. [mask] (mln) is a member of the regulin family, a group of homologous m...",,
gemma4_26b,Q4_Cauda_Longa,38300343,mir-4638,MicroRNA-4638-3p,microrna 4638,MicroRNA-4638-3p,resposta,16,False,True,...in vivo validation of the functional role of microrna-4638-3p in breast cancer bone metastasis. purpose: skeletal metasta...,,
gemma4_26b,Q4_Cauda_Longa,41444079,IDH1-AS1,"lncRNA-IADMP, IADMP",iadmp,iadmp,alias_nebb,5,True,False,...the oncomicropeptide iadmp promotes lung cancer progression by stablilized rps3a expre...,,
gemma4_26b,Q4_Cauda_Longa,6672765,c-K-ras-1,K-ras-1,k-ras-1,k-ras-1,alias_nebb,7,True,True,"...regional chromosomal localization of n-ras, k-ras-1, k-ras-2 and myb oncogenes in human cells. the identificati...",,
gemma4_26b,Q4_Cauda_Longa,9177776,ribosomal protein L3 homologous,RPL3-Hom,rpl3-hom,rpl3-hom,alias_nebb,8,True,True,"...dihydrofolate reductase pseudogene (dhfrp) and [mask] gene (rpl3-hom), were also found in the vicinity of the hla-b and -c genes...",,
gemma4_26b,Q3_Baixa_Popularidade,10072585,peptidyl prolyl isomerase-like 1,the PPIL1,ppil1,ppil1,alias_nebb,5,True,False,...reassignment of [mask] gene (ppil1) to human chromosome region 6p21.1 by radiation hybrid mapp...,,
gemma4_26b,Q3_Baixa_Popularidade,10713113,isovaleryl-CoA dehydrogenase,IVD,ivd,ivd,alias_nebb,3,True,True,"...nborn error of metabolism caused by a deficiency of [mask] (ivd), a nucleus-encoded, homotetrameric, mitochondrial flavoenz...",,
gemma4_26b,Q3_Baixa_Popularidade,11802782,tandem-PH-domain-containing protein-1,TAPP1,tapp1,tapp1,alias_nebb,5,True,True,"...at the tandem-pleckstrin-homology-domain-containing protein tapp1 interacts with ptd(3,4)p2 and the multi-pdz-domain-containi...",,
gemma4_26b,Q3_Baixa_Popularidade,12095986,mitochondrial translational initiation factor 3,IF3(mt),if3(mt),if3(mt),alias_nebb,7,True,True,...tiation complex formation with natural mrnas. human [mask] (if3(mt)) has been identified from the human expressed sequence tag ...,,
gemma4_26b,Q3_Baixa_Popularidade,19240024,Melanoregulin,Dsu,dsu,dsu,alias_nebb,3,True,True,"...pithelial cells. [mask] ([mask]), the product of the [mask](dsu) gene, is a small highly charged protein, hypothesized to p...",,
gemma4_26b,Q3_Baixa_Popularidade,22821757,SLC45A3,prostein,prostein,prostein,alias_nebb,8,True,True,...loss of [mask] protein (prostein) expression in prostate cancer is associated with [mask]-er...,,
gemma4_26b,Q3_Baixa_Popularidade,22952076,NCAN,neurocan,neurocan,neurocan,alias_nebb,8,True,True,...studies in humans and mice implicate neurocan in the etiology of mania. objective: genome-wide associatio...,,
gemma4_26b,Q3_Baixa_Popularidade,23355646,ZP2,ZPA/2,zpa,zpa,alias_nebb,3,True,True,"...m proteins interact with zona pellucida (zp) glycoproteins, zpa/2, zpb/4 and zpc/3? summary answer: co-precipitation experi...",,
gemma4_26b,Q3_Baixa_Popularidade,24120948,MicroRNAs-449a and -449b,miRs-449a and -449b,mirs,mirs,alias_nebb,4,True,True,...s to illustrate the relationship between the expressions of mirs-449a and -449b to retinoblastoma proliferation and apoptosi...,,
gemma4_26b,Q3_Baixa_Popularidade,24972756,NFKB activating protein-like,NKAPL,nkapl,nkapl,alias_nebb,5,True,True,...resequencing and association study of the [mask] gene (nkapl) in schizophrenia. objectives: schizophrenia is a highly in...,,
gemma4_26b,Q3_Baixa_Popularidade,31416616,apoptosis related protein 3,APR3,apr3,apr3,alias_nebb,4,True,True,...ng protein of nell-1. results showed that nell-1 and [mask](apr3) expression levels were high in odontoblasts and inversely ...,,
gemma4_26b,Q3_Baixa_Popularidade,31932686,Lck interacting transmembrane adaptor 1,LIME1,lime1,lime1,alias_nebb,5,True,True,"...dence of ase in one or both cell types. in the [mask] gene (lime1), for example, we were able to show that in both cell types...",,
gemma4_26b,Q3_Baixa_Popularidade,32332102,TRAPgamma,SSR3-CDG,ssr3,ssr3,alias_nebb,4,True,False,"... a patient with a homozygous start codon variant in [mask] (ssr3), absence of [mask] causes disruption of the trap complex, ...",,
gemma4_26b,Q3_Baixa_Popularidade,32367058,sorbitol dehydrogenase,SORD,sord,sord,alias_nebb,4,True,True,...biallelic mutations in sord cause a common and potentially treatable hereditary neuropa...,,
gemma4_26b,Q3_Baixa_Popularidade,37822942,MicroRNA-510,miR-510-5p,mir-510,mir-510,alias_nebb,7,True,True,...mechanism of cav1 loss is unknown. we previously identified mir-510-5p as a novel oncomir and propose here that the high levels...,,
gemma4_26b,Q2_Medios,11058587,Ep-CAM,GA733/GA733-2,ga733-2,ga733-2,alias_nebb,7,True,False,...omeric state of the colon carcinoma-associated glycoprotein ga733-2 ([mask]/[mask]) and its role in ga733-mediated homotypic ce...,,
gemma4_26b,Q2_Medios,11257441,Sortilin,NTSR2/gp95,gp95,gp95,alias_nebb,4,True,False,"...n signaling and cellular trafficking? the identification of gp95[mask], a sorting protein, as being the 100 kda neurotensin ...",,
gemma4_26b,Q2_Medios,12072807,fibroblast growth factor receptor 2,FGFR2,fgfr2,fgfr2,alias_nebb,5,True,True,...sacral appendage associated with a mutation in fgfr2. we report a baby with craniosynostosis and a sacral append...,,
gemma4_26b,Q2_Medios,12370157,galactose-1-phosphate uridyltransferase,GALT,galt,galt,alias_nebb,4,True,True,... with the risk of ovarian cancer. deficiency in the [mask] (galt) enzyme results in accumulation of galactose and its metabo...,,
gemma4_26b,Q2_Medios,16329101,lysozyme,LYZ,lyz,lyz,alias_nebb,3,True,True,"...in exon 2 (p.t70n) and exon 4 (p.w112r) of the [mask] gene (lyz), with both mutations being present on the same allele. thi...",,
gemma4_26b,Q2_Medios,16473015,huntingtin,Htt,htt,htt,alias_nebb,3,True,True,...sorder caused by a polyglutamine repeat in the [mask] gene (htt). mitochondrial defects and protein aggregates are characte...,,
gemma4_26b,Q2_Medios,17179145,UDP-glucuronosyltransferase 1A,UGT1A,ugt1a,ugt1a,alias_nebb,5,True,True,...used fluorescence resonance energy transfer (fret) to study ugt1a oligomerization in live cells. this technique demonstrated ...,,
gemma4_26b,Q2_Medios,19112833,AT1R,AT1,at1,at1,alias_nebb,3,True,True,...conclusions: it seems that i/d polymorphism ace gene and ac at1 gene influence the development of hypertension and lvh in h...,,
gemma4_26b,Q2_Medios,19706884,T-cell receptor (TCR) alpha and beta,TCR beta,TCR,TCR,alias_nebb,3,True,False,"...up to 10(16) distinct alphabeta pairs, direct assessment of tcr cdr3 diversity has not proved amenable to standard capillar...",,
gemma4_26b,Q2_Medios,20378180,complement component C2,C2,c2,c2,alias_nebb,2,True,True,... (ivs1 and ivs6) and in the complement factor b/[mask] (cfb/c2) locus (ivs10 and h9l). main outcome measures: allele and g...,,
gemma4_26b,Q2_Medios,20514075,histidine-triad nucleotide-binding protein-1,HINT1,hint1,hint1,alias_nebb,5,True,True,...association of the [mask] (hint1) gene variants with nicotine dependence. the [mask] gene (h...,,
gemma4_26b,Q2_Medios,20629673,Filaggrin,FLG,flg,flg,alias_nebb,3,True,True,...rom a tertiary dermatology clinic. background: [mask] null (flg) mutations lead to skin barrier disruption with a reduced r...,,
gemma4_26b,Q2_Medios,21738396,versican,VCAN,vcan,vcan,alias_nebb,4,True,True,...a new vcan/[mask] splice acceptor site mutation in a french wagner fam...,,
gemma4_26b,Q2_Medios,21789713,RLN2,H2 relaxin,h2,h2,alias_nebb,2,True,True,...dual blockade of pka and nf-kappab inhibits h2 relaxin-mediated castrate-resistant growth of prostate canc...,,
gemma4_26b,Q2_Medios,22185200,CypA,Cyclophilin A,cyclophilin a,cyclophilin a,alias_nebb,13,True,True,...the host-pathogen interaction of human cyclophilin a and hiv-1 vpr requires specific n-terminal and novel c-term...,,
gemma4_26b,Q2_Medios,22869146,microRNA-205,miR-205,mir-205,mir-205,alias_nebb,7,True,True,...inogenesis. here we show in prostate cancer that mirna-205 (mir-205) transcription is commonly repressed and the mir-205 locus ...,,
gemma4_26b,Q2_Medios,23334847,MID1,midline 1,midline 1,midline 1,alias_nebb,9,True,True,...the e3 ubiquitin ligase midline 1 promotes allergen and rhinovirus-induced asthma by inhibiti...,,
gemma4_26b,Q2_Medios,26535939,FK506 binding protein 5,FKBP5,fkbp5,fkbp5,alias_nebb,5,True,True,... marijuana dependence: examining moderation by [mask] gene (fkbp5). the current study examined the prospective association be...,,
gemma4_26b,Q2_Medios,26753883,T-cell receptor (TCR) beta,TCRbeta,TCR,TCR,alias_nebb,3,True,False,...e cell lymphoma arises in thymocytes and requires transient tcr expression for thymic egress. anaplastic large cell lymphom...,,
gemma4_26b,Q2_Medios,30168048,complement 3,C3,c3,c3,alias_nebb,2,True,True,...at diagnosis. objectives: we investigated whether low serum c3 level can cross-sectionally estimate severe antineutrophil ...,,
gemma4_26b,Q2_Medios,31881225,miR-139,microRNA-139-5p,microrna 139,microRNA-139-5p,resposta,15,False,True,... indicated that the 3'utr of notch1 contained the motif for microrna-139-5p binding. co-transfection with the luciferase reporter conta...,,
gemma4_26b,Q2_Medios,33191341,Dickkopf-3,DKK3,dkk3,dkk3,alias_nebb,4,True,True,...ary stenosis in an asymptomatic chinese cohort. dickkopp-3 (dkk3) has been identified to play a protection role against athe...,,
gemma4_26b,Q2_Medios,34637032,CHIT1,chitotriosidase,chitotriosidase,chitotriosidase,alias_nebb,15,True,True,...increased plasma ykl-40 level and chitotriosidase activity in cystic fibrosis patients. we investigated plasm...,,
gemma4_26b,Q2_Medios,35993046,Receptor Activator of Nuclear Factor-kappaB,RANKL/RANK,rank,rank,alias_nebb,4,True,False,...ffect of osteoprotectin (opg)/[mask] ligand (rankl)/[mask] (rank) gene methylation on aortic valve calcified. to evaluate th...,,
gemma4_26b,Q1_Super_Populares,12750767,IDDM2,INS,ins,ins,alias_nebb,3,True,True,...o determine whether combining iddm1/hla and [mask]/ [mask]( ins) 5' variable number of tandem repeat locus (vntr) genotypes...,,
gemma4_26b,Q1_Super_Populares,12941811,androgen receptor,AR,ar,ar,alias_nebb,2,True,True,".... here we report the identification of gelsolin (gsn) as an ar-associated protein. hydroxyflutamide (hf), as well as andro...",,
gemma4_26b,Q1_Super_Populares,14758530,IL-1ra,IL1RN,il1rn,il1rn,alias_nebb,5,True,True,"...lleles of the [mask] gene were identified and designated as il1rn*1, il1rn*2, il1rn*3, il1rn*4, and il1rn*5, according to the...",,
gemma4_26b,Q1_Super_Populares,15802968,CC-chemokine receptor 5,CCR5,ccr5,ccr5,alias_nebb,4,True,True,...frequency of the ccr5-delta32 mutant allele is not increased in belgian hepatitis...,,
gemma4_26b,Q1_Super_Populares,17310371,insulin,INS,ins,ins,alias_nebb,3,True,True,...ed for all children and 1090 children also had [mask] gene (ins) variable number of tandem repeats (vntr) typing. results: ...,,
gemma4_26b,Q1_Super_Populares,18160396,adenomatous polyposis coli protein,APC,apc,apc,alias_nebb,3,True,True,...ications for cell survival. the adenomatous polyposis coli (apc) protein tumor suppressor is mutated in the majority of col...,,
gemma4_26b,Q1_Super_Populares,18674658,"interleukin (IL)-4, -10, and -13",IL-13,IL,IL,alias_nebb,2,True,True,"...mined 72 single nucleotide polymorphisms (snps) in 6 genes: il-4, il-4 receptor, [mask], [mask] receptor alpha, [mask] rec...",,
gemma4_26b,Q1_Super_Populares,19170767,beta-amyloid precursor protein,APP,app,app,alias_nebb,3,True,True,"...aromyces cerevisiae. in an attempt to express human [mask] (app) in yeast, we fortuitously found that this protein is only ...",,
gemma4_26b,Q1_Super_Populares,19712061,leucine-rich repeat kinase 2,LRRK2,lrrk2,lrrk2,alias_nebb,5,True,True,...homo- and heterodimerization of roco kinases: lrrk2 kinase inhibition by the lrrk2 roco fragment. mutations in ...,,
gemma4_26b,Q1_Super_Populares,21097678,p38 mitogen-activated protein kinase,p38,p38,p38,alias_nebb,3,True,True,...ancer cell migration is mediated by nag-1 induction via the p38 mapk-p75(ntr) pathway. the nonsteroidal anti-inflammatory d...,,
gemma4_26b,Q1_Super_Populares,27781293,methylenetetrahydrofolate reductase,MTHFR,mthfr,mthfr,alias_nebb,5,True,True,...methotrexate elimination and toxicity: mthfr 677c>t polymorphism in patients with primary cns lymphoma t...,,
gemma4_26b,Q1_Super_Populares,28629373,programmed cell death protein 1,PD-1,pd-1,pd-1,alias_nebb,4,True,True,...imp-1 impairs t cell function via upregulation of tigit and pd-1 in patients with acute myeloid leukemia. background: t cell...,,
gemma4_26b,Q1_Super_Populares,29120858,osteopontin,OPN,opn,opn,alias_nebb,3,True,True,"..., pinp, piiinp), fibrosis controlling factors - ostepontin (opn), transforming growth factor (tgf1-beta) and connective tis...",,
gemma4_26b,Q1_Super_Populares,29150654,glucocorticoid receptor,GR,gr,gr,alias_nebb,2,True,True,"...but in certain cell types, it can also activate the [mask] (gr). both mr and gr are structurally and functionally related ...",,
gemma4_26b,Q1_Super_Populares,31727962,Androgen Receptor,AR,ar,ar,alias_nebb,2,True,True,"...(p = 0.045), but decreased from group 3 through to group 4. ar splice variant 7 (arv7) and glucocorticoid receptor (gr) tr...",,
gemma4_26b,Q1_Super_Populares,31983437,amyloid precursor protein,APP,app,app,alias_nebb,3,True,True,"...d that crbn recognizes the c-terminal region of the [mask] (app), a protein known for its involvement in the development of...",,
gemma4_26b,Q1_Super_Populares,33813478,mir-21,hsa-miR21-3p,mir21,mir21,alias_nebb,5,True,True,"... were able to determine 49 samples of hsa-mir210-3p and hsa-mir21-3p from maternal plasma, 44 samples of hsa-mir210-3p and 37...",,
gemma4_26b,Q1_Super_Populares,34271894,Programmed cell death protein-1,PD-1,pd-1,pd-1,alias_nebb,4,True,True,...[mask] (pd-1) protects liver damage by suppressing ifn-gamma expression ...,,
gemma4_26b,Q1_Super_Populares,38441376,p38 MAP kinase,p38,p38,p38,alias_nebb,3,True,True,... 10 days +- anti-cd40/recombinant il-4 +- inhibitor of phos-p38. culture supernatants were assayed for ige (elisa). phos-[m...,,
gemma4_31b,Q4_Cauda_Longa,12869548,Rheb1,Rheb,rheb,rheb,alias_nebb,4,True,True,...identification of dominant negative mutants of rheb gtpase and their use to implicate the involvement of human ...,,
gemma4_31b,Q4_Cauda_Longa,21252223,SWI5-MEI5,Sae3,sae3,sae3,alias_nebb,4,True,True,"...ologous recombination repair, the budding yeast counterpart sae3-mei5 is meiosis-specific, interacts with dmc1, and promotes...",,
gemma4_31b,Q4_Cauda_Longa,26565952,TGFB2 overlapping transcript 1,TGFB2-OT1,tgfb2-ot1,tgfb2-ot1,alias_nebb,9,True,True,...new microrna signal pathway regulated by long noncoding rna tgfb2-ot1 in autophagy and inflammation of vascular endothelial cells...,,
gemma4_31b,Q4_Cauda_Longa,26884884,dual-specificity phosphatase 5 pseudogene 1,DUSP5P1,dusp5p1,dusp5p1,alias_nebb,7,True,True,...high expression of [mask] (dusp5p1) is associated with poor prognosis in acute myeloid leukemi...,,
gemma4_31b,Q4_Cauda_Longa,29084806,LOC102723505,ROCR,rocr,rocr,alias_nebb,4,True,True,...the long non-coding rna rocr contributes to sox9 expression and chondrogenic differentia...,,
gemma4_31b,Q4_Cauda_Longa,29110645,Long intergenic non-protein-coding RNA 1567,LOCCS (LOCCS),loccs,loccs,alias_nebb,5,True,False,"...n ability, and tumorigenicity of cd133+/cd166+/cd44+ cells. loccs-sirna and pcdna-loccs plasmid vectors were constructed and ...",,
gemma4_31b,Q4_Cauda_Longa,30539011,MicroRNA-4739,miRNA-4739,mirna-4739,mirna-4739,alias_nebb,10,True,True,"...pendent cohorts, qrt-pcr validation confirmed the increased mirna-4739 level in patients with cli versus patients without cli. mir...",,
gemma4_31b,Q4_Cauda_Longa,30844657,MicroRNA-575,miRNA-575,mirna-575,mirna-575,alias_nebb,9,True,True,...ly impaired anti-proliferative effects of [mask] inhibitor. mirna-575 serves a pivotal role in gc as a cancer promoter gene by ta...,,
gemma4_31b,Q4_Cauda_Longa,30951563,microRNA-4474/4717,miR-4474,mir-4474,mir-4474,alias_nebb,8,True,True,...hip human transcriptome array 2.0. the results suggest that mir-4474 and [mask] are up-regulated in crc tissues in response to f...,,
gemma4_31b,Q4_Cauda_Longa,31012177,miR-567,miRNA-567,mirna-567,mirna-567,alias_nebb,9,True,True,"... experimental evidence confirmed that cmras was a sponge of mirna-567 and released its direct target, ptprg. cmras overexpression...",,
gemma4_31b,Q4_Cauda_Longa,31019085,LOC105372576,WAKMAR1,wakmar1,wakmar1,alias_nebb,7,True,True,...human skin long noncoding rna wakmar1 regulates wound healing by enhancing keratinocyte migration...,,
gemma4_31b,Q4_Cauda_Longa,31200545,LOC151484,Lnc-ITM2C-1,lnc-itm2c-1,lnc-itm2c-1,alias_nebb,11,True,True,...lnc-itm2c-1 and gpr55 are proviral host factors for hepatitis c virus. ...,,
gemma4_31b,Q4_Cauda_Longa,31364107,microRNA-8073,MiRNA-8073,mirna-8073,mirna-8073,alias_nebb,10,True,True,...mirna-8073 targets znt1 to inhibit malignant progression of ovarian ca...,,
gemma4_31b,Q4_Cauda_Longa,31582779,miR-4484,miRNA-4484,mirna-4484,mirna-4484,alias_nebb,10,True,True,...a novel mirna-4484 is up-regulated on microarray and associated with increased...,,
gemma4_31b,Q4_Cauda_Longa,32000125,LINC01011,CISAL,cisal,cisal,alias_nebb,5,True,True,...lncrna cisal inhibits brca1 transcription by forming a tertiary structur...,,
gemma4_31b,Q4_Cauda_Longa,33046716,LINC01546,Vimentin associated lncRNA,vimentin associated lncrna,vimentin associated lncrna,alias_nebb,26,True,True,"...rna) profiling induced by active akt, we identify that val (vimentin associated lncrna, [mask]), which is directly induced by akt/stat3 signaling,...",,
gemma4_31b,Q4_Cauda_Longa,33505972,linc01013,lncRNA-Aerrie,aerrie,aerrie,alias_nebb,6,True,False,...long non-coding rna aerrie controls dna damage repair via ybx1 to maintain endothelial...,,
gemma4_31b,Q4_Cauda_Longa,33789307,MiR-3161,miRNA-3161,mirna-3161,mirna-3161,alias_nebb,10,True,True,...l in patients. rs2953 t allele introduced a binding site to mirna-3161 and thus decreased luciferase activity. conclusion: polymor...,,
gemma4_31b,Q4_Cauda_Longa,34535085,microRNA-1278,miRNA-1278,mirna-1278,mirna-1278,alias_nebb,10,True,True,"...rase reporter assay detect the interaction of circ_0007059, mirna-1278, and shp-1. glomerulonephritis was performed in a mouse mod...",,
gemma4_31b,Q4_Cauda_Longa,34851809,TH2LCRR,T Helper Type 2 Locus Control Region Associated RNA,t helper type 2 locus control region associated rna,t helper type 2 locus control region associated rna,alias_nebb,51,True,True,"...hree functional snps interacts with the promoter of [mask] (t helper type 2 locus control region associated rna), a recently identified long noncoding rna. rna-seq data an...",,
gemma4_31b,Q4_Cauda_Longa,35034552,ADORA2A antisense RNA 1,ADORA2A-AS1,adora2a-as1,adora2a-as1,alias_nebb,11,True,True,...he potential role and molecular mechanism of lncrna [mask] (adora2a-as1) in cml. we found that the expression of adora2a-as1 was up...,,
gemma4_31b,Q4_Cauda_Longa,35050429,miR-4510,miRNA-4510,mirna-4510,mirna-4510,alias_nebb,10,True,True,...cantly lower than that in the adjacent tissues (p < 0.001). mirna-4510 expression in gpc3-gc was significantly lower than that in ...,,
gemma4_31b,Q4_Cauda_Longa,35388952,DLG1 Antisense RNA 1,DLG1-AS1,dlg1-as1,dlg1-as1,alias_nebb,8,True,True,...lncrna dlg1-as1 promotes cervical cancer cell gemcitabine resistance by reg...,,
gemma4_31b,Q4_Cauda_Longa,37014032,Myoregulin,MLN,mln,mln,alias_nebb,3,True,True,"...cidic residue in the calcium pump regulator [mask]. [mask] (mln) is a member of the regulin family, a group of homologous m...",,
gemma4_31b,Q4_Cauda_Longa,9877162,(pro)napsin B,pronapsin B,pro,pro,alias_nebb,3,True,False,...ecursors of two hitherto unknown aspartic proteinases. the (pro)napsin a gene is expressed predominantly in lung and kidney...,,
gemma4_31b,Q3_Baixa_Popularidade,10713113,isovaleryl-CoA dehydrogenase,IVD,ivd,ivd,alias_nebb,3,True,True,"...nborn error of metabolism caused by a deficiency of [mask] (ivd), a nucleus-encoded, homotetrameric, mitochondrial flavoenz...",,
gemma4_31b,Q3_Baixa_Popularidade,11802782,tandem-PH-domain-containing protein-1,TAPP1,tapp1,tapp1,alias_nebb,5,True,True,"...at the tandem-pleckstrin-homology-domain-containing protein tapp1 interacts with ptd(3,4)p2 and the multi-pdz-domain-containi...",,
gemma4_31b,Q3_Baixa_Popularidade,12095986,mitochondrial translational initiation factor 3,IF3(mt),if3(mt),if3(mt),alias_nebb,7,True,True,...tiation complex formation with natural mrnas. human [mask] (if3(mt)) has been identified from the human expressed sequence tag ...,,
gemma4_31b,Q3_Baixa_Popularidade,19240024,Melanoregulin,Dsu,dsu,dsu,alias_nebb,3,True,True,"...pithelial cells. [mask] ([mask]), the product of the [mask](dsu) gene, is a small highly charged protein, hypothesized to p...",,
gemma4_31b,Q3_Baixa_Popularidade,24120948,MicroRNAs-449a and -449b,miRs-449a and -449b,mirs,mirs,alias_nebb,4,True,True,...s to illustrate the relationship between the expressions of mirs-449a and -449b to retinoblastoma proliferation and apoptosi...,,
gemma4_31b,Q3_Baixa_Popularidade,24972756,NFKB activating protein-like,"NKAPL, nuclear kappa-light chain protein",nkapl,nkapl,alias_nebb,5,True,False,...resequencing and association study of the [mask] gene (nkapl) in schizophrenia. objectives: schizophrenia is a highly in...,,
gemma4_31b,Q3_Baixa_Popularidade,31416616,apoptosis related protein 3,APR3,apr3,apr3,alias_nebb,4,True,True,...ng protein of nell-1. results showed that nell-1 and [mask](apr3) expression levels were high in odontoblasts and inversely ...,,
gemma4_31b,Q3_Baixa_Popularidade,31932686,Lck interacting transmembrane adaptor 1,LIME1,lime1,lime1,alias_nebb,5,True,True,"...dence of ase in one or both cell types. in the [mask] gene (lime1), for example, we were able to show that in both cell types...",,
gemma4_31b,Q3_Baixa_Popularidade,32332102,TRAPgamma,SSR3,ssr3,ssr3,alias_nebb,4,True,True,"... a patient with a homozygous start codon variant in [mask] (ssr3), absence of [mask] causes disruption of the trap complex, ...",,
