modelo,pmid,estrato,nivel,gold_answer,resposta_modelo,trecho_abstract,veredito_manual,justificativa
Gemma 4 Denso 31B,25338662,Q1_Super_Populares,N2,factor V,factor V,phosphate accelerates [mask] activation by factor xia. factor va enhances the rate of prothrombin activation by factor,Vazamento real,"N2 casou em 'factor Va', que e a forma ATIVADA do proprio Factor V -- mesmo gene (F5), nao outro. A cadeia 'factor V' estava disponivel para copia."
Gemma 4 Denso 31B,29252126,Q1_Super_Populares,N1,insulin,insulin,leptin levels and insulin dependence in latent autoimmune diabetes in adults. la,Vazamento real,O gold aparece integro no titulo: 'leptin levels and insulin dependence in latent autoimmune diabetes in adults'.
Gemma 4 Denso 31B,38594840,Q1_Super_Populares,N2,KRAS,Kras,"itrosamine ketone; nnk) lac mouse models harboring the krasg12d driver mutation, aim2 was highly upregulated compa",Vazamento real,N2 casou em 'KRASG12D driver mutation' -- o simbolo do gene alvo embutido na notacao da mutacao. Mesmo mecanismo de 37768355.
Gemma 4 MoE 26B,11145944,Q4_Cauda_Longa,N1,HDL3,HDL3,"we investigated the role of apoe in mediating hdl2 and hdl3 binding to the extracellular vascular proteoglycan, bi",Vazamento real,O gold aparece integro: 'the role of ApoE in mediating HDL2 and HDL3 binding'. O PubTator anotou uma ocorrencia e deixou esta visivel.
Gemma 4 MoE 26B,36672939,Q4_Cauda_Longa,N2,HOXB,HOXB," supernumerary cusp formation, and increased hoxa4 and hoxb6 gene expression when compared to the controls. togeth",Duvidoso,"N2 casou dentro de 'HOXB6' -- outro gene do cluster HOXB, nao o alvo."
Gemma 4 MoE 26B,37101349,Q4_Cauda_Longa,N1,hsa-miR-4639,Hsa-miR-4639-5p,regulation of hsa mir 4639 5p expression and its potential role in the pathogenes,Vazamento real,"A forma madura 'hsa-miR-4639-5p' esta no titulo, sem mascara. Mesmo mecanismo de 28778566."
Gemma 4 MoE 26B,28778566,Q3_Baixa_Popularidade,N1,miR-524,miR-524," the expression of pri [mask] by histone modification. mir 524 3p and [mask] 5p inhibited tgf/beta, notch and the hip",Vazamento real,A forma madura 'miR-524-3p' ficou visivel enquanto a outra ocorrencia virou '[MASK]-5p'. O PubTator anota o miRNA maduro como entidade distinta e por isso nao mascarou.
Gemma 4 MoE 26B,8192860,Q3_Baixa_Popularidade,N1,alpha s1-casein,alpha S1-casein,human alpha s1 casein like protein: purification and n terminal sequence det,Vazamento real,O gold aparece integro no titulo: 'human alpha-s1-casein like protein: purification and N-terminal sequence determination'.
Gemma 4 MoE 26B,16757480,Q2_Medios,N1,spermidine/spermine N(1)-acetyltransferase,spermidine/spermine N1-acetyltransferase (SAT1),tumor necrosis factor alpha induces spermidine/spermine n1 acetyltransferase through nuclear factor kappab in non small cell lung c,Vazamento real,"O nome por extenso esta no titulo, sem mascara: 'TNF-alpha induces spermidine/spermine N1-acetyltransferase through NF-kappaB'. A mascara falhou por variacao ortografica -- o gabarito grafa 'N(1)-' e o abstract escreve 'N1-'. Revisado em 2026-07-20."
Gemma 4 MoE 26B,24784582,Q2_Medios,N2,parkin,Parkin,genes responsible for hereditary recessive early onset parkinsonism. pink1 is a ser/thr kinase that specifically acc,Duvidoso,"N2 casou dentro de 'parkinsonism' -- nome da doenca, nao mencao ao gene PRKN."
Gemma 4 MoE 26B,33256324,Q2_Medios,N1,glutaminyl-tRNA Synthetase,glutaminyl-tRNA synthetase deficiency,[qars1 gene related glutaminyl trna synthetase deficiency syndrome: report of three cases and a revie,Vazamento real,O nome por extenso esta no titulo: 'QARS1 gene related glutaminyl-tRNA synthetase deficiency syndrome'. O simbolo QARS1 tambem esta exposto ao lado.
Gemma 4 MoE 26B,37768355,Q2_Medios,N2,CDC23,Cdc23,a cells and mouse oocytes. in vivo studies showed that cdc23y329c/y329c mice successfully mimicked the patients phe,Vazamento real,"N2 casou em 'CDC23Y329C/Y329C', a notacao da mutacao -- que embute o simbolo do gene alvo. O PubTator anota a mutacao como entidade distinta e nao mascara o simbolo dentro dela."
Gemma 4 MoE 26B,10898498,Q1_Super_Populares,N2,HLA-C.,HLA-C,rface expression of hla e requires binding of specific hla class i leader sequences. the uterine mucosa in early pr,Falso alarme,"N2 casou com o inicio de 'HLA class I' -- e a classe do complexo, nao o gene HLA-C. Mesmo padrao de 24818561 e 30797824. Revisado em 2026-07-20 (o gold tem ponto final: 'HLA-C.')."
Gemma 4 MoE 26B,20578216,Q1_Super_Populares,N1,estrogen receptor,estrogen receptor alpha36 (ER$\alpha$36),estrogen receptor alpha36 mediates a bone sparing effect of 17beta estro,Vazamento real,O gold aparece integro no titulo: 'estrogen receptor alpha36 mediates a bone sparing effect'. A mascara cobriu outra ocorrencia mas nao esta.
Gemma 4 MoE 26B,24818561,Q1_Super_Populares,N2,HLA-C,HLA-C,r genes in individuals. ssp real time pcr was used for hla class i ligand genotyping and real time quantitative rev,Falso alarme,"N2 casou com o inicio de 'HLA class I' -- e a classe do complexo, nao o gene HLA-C."
Gemma 4 MoE 26B,29252126,Q1_Super_Populares,N1,insulin,insulin,leptin levels and insulin dependence in latent autoimmune diabetes in adults. la,Vazamento real,O gold aparece integro no titulo: 'leptin levels and insulin dependence in latent autoimmune diabetes in adults'.
Gemma 4 MoE 26B,30797824,Q1_Super_Populares,N2,HLA-C,HLA-C,te stable antigenic epitopes for their presentation by hla class i (hla i) molecules to t cell receptor. by influen,Falso alarme,"N2 casou com o inicio de 'HLA class I' -- e a classe do complexo, nao o gene HLA-C."
Gemma 4 MoE 26B,38594840,Q1_Super_Populares,N2,KRAS,Kras,"itrosamine ketone; nnk) lac mouse models harboring the krasg12d driver mutation, aim2 was highly upregulated compa",Vazamento real,N2 casou em 'KRASG12D driver mutation' -- o simbolo do gene alvo embutido na notacao da mutacao. Mesmo mecanismo de 37768355.
Qwen 3.6 35B,11145944,Q4_Cauda_Longa,N1,HDL3,HDL3,"we investigated the role of apoe in mediating hdl2 and hdl3 binding to the extracellular vascular proteoglycan, bi",Vazamento real,O gold aparece integro: 'the role of ApoE in mediating HDL2 and HDL3 binding'. O PubTator anotou uma ocorrencia e deixou esta visivel.
Qwen 3.6 35B,36672939,Q4_Cauda_Longa,N2,HOXB,HOXB," supernumerary cusp formation, and increased hoxa4 and hoxb6 gene expression when compared to the controls. togeth",Duvidoso,"N2 casou dentro de 'HOXB6' -- outro gene do cluster HOXB, nao o alvo."
Qwen 3.6 35B,37101349,Q4_Cauda_Longa,N1,hsa-miR-4639,Hsa-miR-4639,regulation of hsa mir 4639 5p expression and its potential role in the pathogenes,Vazamento real,"A forma madura 'hsa-miR-4639-5p' esta no titulo, sem mascara. Mesmo mecanismo de 28778566."
Qwen 3.6 35B,28778566,Q3_Baixa_Popularidade,N1,miR-524,miR-524," the expression of pri [mask] by histone modification. mir 524 3p and [mask] 5p inhibited tgf/beta, notch and the hip",Vazamento real,A forma madura 'miR-524-3p' ficou visivel enquanto a outra ocorrencia virou '[MASK]-5p'. O PubTator anota o miRNA maduro como entidade distinta e por isso nao mascarou.
Qwen 3.6 35B,8192860,Q3_Baixa_Popularidade,N1,alpha s1-casein,alpha S1-casein,human alpha s1 casein like protein: purification and n terminal sequence det,Vazamento real,O gold aparece integro no titulo: 'human alpha-s1-casein like protein: purification and N-terminal sequence determination'.
Qwen 3.6 35B,10340378,Q2_Medios,N1,insulin receptor,insulin-receptor,". unlike irs 1, the shc ptb domain binds poorly to the insulin receptor (ir) beta subunit in vitro, owing to its low affinity ",Vazamento real,"O gold aparece integro e sem mascara: 'the SHC PTB domain binds poorly to the insulin receptor (IR) beta subunit'. Revisado em 2026-07-20 (item so visivel apos o auditor passar a consumir acerto_estrito do julgador; a resposta era 'insulin-receptor', com hifen)."
Qwen 3.6 35B,24784582,Q2_Medios,N2,parkin,Parkin,genes responsible for hereditary recessive early onset parkinsonism. pink1 is a ser/thr kinase that specifically acc,Duvidoso,"N2 casou dentro de 'parkinsonism' -- nome da doenca, nao mencao ao gene PRKN."
Qwen 3.6 35B,33256324,Q2_Medios,N1,glutaminyl-tRNA Synthetase,glutaminyl-tRNA synthetase deficiency,[qars1 gene related glutaminyl trna synthetase deficiency syndrome: report of three cases and a revie,Vazamento real,O nome por extenso esta no titulo: 'QARS1 gene related glutaminyl-tRNA synthetase deficiency syndrome'. O simbolo QARS1 tambem esta exposto ao lado.
Qwen 3.6 35B,37768355,Q2_Medios,N2,CDC23,CDC23,a cells and mouse oocytes. in vivo studies showed that cdc23y329c/y329c mice successfully mimicked the patients phe,Vazamento real,"N2 casou em 'CDC23Y329C/Y329C', a notacao da mutacao -- que embute o simbolo do gene alvo. O PubTator anota a mutacao como entidade distinta e nao mascara o simbolo dentro dela."
Qwen 3.6 35B,29252126,Q1_Super_Populares,N1,insulin,insulin,leptin levels and insulin dependence in latent autoimmune diabetes in adults. la,Vazamento real,O gold aparece integro no titulo: 'leptin levels and insulin dependence in latent autoimmune diabetes in adults'.
Qwen 3.6 35B,30797824,Q1_Super_Populares,N2,HLA-C,HLA-C,te stable antigenic epitopes for their presentation by hla class i (hla i) molecules to t cell receptor. by influen,Falso alarme,"N2 casou com o inicio de 'HLA class I' -- e a classe do complexo, nao o gene HLA-C."
Qwen 3.6 35B,38594840,Q1_Super_Populares,N2,KRAS,KRAS,"itrosamine ketone; nnk) lac mouse models harboring the krasg12d driver mutation, aim2 was highly upregulated compa",Vazamento real,N2 casou em 'KRASG12D driver mutation' -- o simbolo do gene alvo embutido na notacao da mutacao. Mesmo mecanismo de 37768355.
Llama 3.3 70B,11145944,Q4_Cauda_Longa,N1,HDL3,HDL3,"we investigated the role of apoe in mediating hdl2 and hdl3 binding to the extracellular vascular proteoglycan, bi",Vazamento real,O gold aparece integro: 'the role of ApoE in mediating HDL2 and HDL3 binding'. O PubTator anotou uma ocorrencia e deixou esta visivel.
Llama 3.3 70B,36672939,Q4_Cauda_Longa,N2,HOXB,HOXB," supernumerary cusp formation, and increased hoxa4 and hoxb6 gene expression when compared to the controls. togeth",Duvidoso,"N2 casou dentro de 'HOXB6' -- outro gene do cluster HOXB, nao o alvo."
Llama 3.3 70B,37101349,Q4_Cauda_Longa,N1,hsa-miR-4639,Hsa-miR-4639,regulation of hsa mir 4639 5p expression and its potential role in the pathogenes,Vazamento real,"A forma madura 'hsa-miR-4639-5p' esta no titulo, sem mascara. Mesmo mecanismo de 28778566."
Llama 3.3 70B,28778566,Q3_Baixa_Popularidade,N1,miR-524,miR-524," the expression of pri [mask] by histone modification. mir 524 3p and [mask] 5p inhibited tgf/beta, notch and the hip",Vazamento real,A forma madura 'miR-524-3p' ficou visivel enquanto a outra ocorrencia virou '[MASK]-5p'. O PubTator anota o miRNA maduro como entidade distinta e por isso nao mascarou.
Llama 3.3 70B,10340378,Q2_Medios,N1,insulin receptor,Insulin receptor,". unlike irs 1, the shc ptb domain binds poorly to the insulin receptor (ir) beta subunit in vitro, owing to its low affinity ",Vazamento real,"O gold aparece integro e sem mascara: 'the SHC PTB domain binds poorly to the insulin receptor (IR) beta subunit'. Revisado em 2026-07-20 (item so visivel apos o auditor passar a consumir acerto_estrito do julgador; a resposta era 'insulin-receptor', com hifen)."
Llama 3.3 70B,33256324,Q2_Medios,N1,glutaminyl-tRNA Synthetase,glutaminyl-tRNA synthetase,[qars1 gene related glutaminyl trna synthetase deficiency syndrome: report of three cases and a revie,Vazamento real,O nome por extenso esta no titulo: 'QARS1 gene related glutaminyl-tRNA synthetase deficiency syndrome'. O simbolo QARS1 tambem esta exposto ao lado.
Llama 3.3 70B,37768355,Q2_Medios,N2,CDC23,CDC23,a cells and mouse oocytes. in vivo studies showed that cdc23y329c/y329c mice successfully mimicked the patients phe,Vazamento real,"N2 casou em 'CDC23Y329C/Y329C', a notacao da mutacao -- que embute o simbolo do gene alvo. O PubTator anota a mutacao como entidade distinta e nao mascara o simbolo dentro dela."
Llama 3.3 70B,10898498,Q1_Super_Populares,N2,HLA-C.,HLA-C,rface expression of hla e requires binding of specific hla class i leader sequences. the uterine mucosa in early pr,Falso alarme,"N2 casou com o inicio de 'HLA class I' -- e a classe do complexo, nao o gene HLA-C. Mesmo padrao de 24818561 e 30797824. Revisado em 2026-07-20 (o gold tem ponto final: 'HLA-C.')."
Llama 3.3 70B,24818561,Q1_Super_Populares,N2,HLA-C,HLA-C,r genes in individuals. ssp real time pcr was used for hla class i ligand genotyping and real time quantitative rev,Falso alarme,"N2 casou com o inicio de 'HLA class I' -- e a classe do complexo, nao o gene HLA-C."
Llama 3.3 70B,29252126,Q1_Super_Populares,N1,insulin,Insulin,leptin levels and insulin dependence in latent autoimmune diabetes in adults. la,Vazamento real,O gold aparece integro no titulo: 'leptin levels and insulin dependence in latent autoimmune diabetes in adults'.
Llama 3.3 70B,38594840,Q1_Super_Populares,N2,KRAS,KRAS,"itrosamine ketone; nnk) lac mouse models harboring the krasg12d driver mutation, aim2 was highly upregulated compa",Vazamento real,N2 casou em 'KRASG12D driver mutation' -- o simbolo do gene alvo embutido na notacao da mutacao. Mesmo mecanismo de 37768355.
