estrato,pmid,geneid,hgnc_symbol,status,forma_casada,trecho_evidencia
Q1_Super_Populares,28065597,3065,GON-10; HD1; HDAC1; KDAC1; RPD3L1,descarte_a_fora_abstract,,
Q1_Super_Populares,28416608,5970,NFKB3; RELA; p65,sobreviveu,,
Q1_Super_Populares,19112107,3576,3-10C; AMCF-I; CXCL8; GCP-1; GCP1; IL-8; IL8; K60; LECT; LUCT; LYNAP; MDNCF; MONAP; NAF; NAP-1; NAP1; SCYB8; TSG-1; b-ENAP,sobreviveu,,
Q1_Super_Populares,22262859,672,BRCA1; BRCC1; FANCS; PPP1R53; RNF53,descarte_b_no_abstract,BRCA1,t cancer susceptibility type 1 protein (BRCA1) is degraded by the N-end rule pathway.
Q1_Super_Populares,22361813,6622,NACP; PARK1; PARK4; PD1; SNCA,sobreviveu,,
Q1_Super_Populares,19015275,10413,YAP-1; YAP1; YAP65,sobreviveu,,
Q1_Super_Populares,32356560,5133,CD279; PD-1; PD1; PDCD1; SLEB2; hSLE1,sobreviveu,,
Q1_Super_Populares,20513078,29126,B7-H; B7-H1; B7H1; CD274; PD-L1; PDCD1LG1; PDL1,sobreviveu,,
Q1_Super_Populares,25338662,2153,F5; fV,sobreviveu,,
Q1_Super_Populares,23924900,1080,ABC35; ABCC7; CF; CFTR; CFTR/MRP; MRP7; TNR-CFTR; dJ760C5.1,sobreviveu,,
Q1_Super_Populares,17875573,3586,CSIF; IL-10; IL10; IL10A; TGIF,sobreviveu,,
Q1_Super_Populares,17207024,3565,BCGF-1; BCGF1; BSF1; IL-4; IL4; MGC79402,sobreviveu,,
Q1_Super_Populares,17570509,2147,F2,sobreviveu,,
Q1_Super_Populares,26656590,4846,ECNOS; NOS3; eNOS,sobreviveu,,
Q1_Super_Populares,25348056,2944,GST1; GSTM1; H-B; MU,sobreviveu,,
Q1_Super_Populares,18683754,4292,COCA2; FCC2; HNPCC; HNPCC2; MLH-1; MLH1,sobreviveu,,
Q1_Super_Populares,27294127,2952,GSTT1,sobreviveu,,
Q1_Super_Populares,12853948,3569,BSF2; HGF; HSF; IFNB2; IL-6; IL6,descarte_a_fora_abstract,,
Q1_Super_Populares,26494593,3106,AS; HLA-B,sobreviveu,,
Q1_Super_Populares,8892658,154,ADRB2; ADRB2R; ADRBR; ARB2; B2AR; BAR,sobreviveu,,
Q1_Super_Populares,25692299,3309,BiP; GRP78; HSPA5,descarte_b_no_abstract,BiP,Noncanonical binding of BiP ATPase domain to Ire1 and Perk is disso
Q1_Super_Populares,21945955,207,AKT; AKT1; PKB; PRKBA; RAC; RAC-alpha,sobreviveu,,
Q1_Super_Populares,22844442,836,CASP3; CPP32; CPP32B; Yama; apopain,sobreviveu,,
Q1_Super_Populares,27423588,332,API4; BIRC5; EPR-1; survivin,sobreviveu,,
Q1_Super_Populares,31430977,5444,ESA; PON; PON1,sobreviveu,,
Q1_Super_Populares,20588308,6772,ISGF-3; STAT1; STAT91,descarte_a_fora_abstract,,
Q1_Super_Populares,15641051,3553,IL-1B; IL1-BETA; IL1B; IL1F2,sobreviveu,,
Q1_Super_Populares,39191344,1432,CSBP1; CSBP2; CSPB1; MAPK14; Mxi2; PRKM14; PRKM15; p38; p38alpha,sobreviveu,,
Q1_Super_Populares,14986816,3552,IL-1A; IL1; IL1-ALPHA; IL1A; IL1F1,sobreviveu,,
Q1_Super_Populares,24280143,387,ARH12; ARHA; RHOA; RHOH12; Rho12,sobreviveu,,
Q1_Super_Populares,20981111,5444,ESA; PON; PON1,sobreviveu,,
Q1_Super_Populares,18259216,5925,OSRC; PPP1R130; RB; RB1,descarte_a_fora_abstract,,
Q1_Super_Populares,19020547,4869,B23; NPM; NPM1,sobreviveu,,
Q1_Super_Populares,31357837,3480,CD221; IGF1R; IGFIR; IGFR; JTK13; MGC18216,sobreviveu,,
Q1_Super_Populares,27507606,7097,CD282; TIL4; TLR2,sobreviveu,,
Q1_Super_Populares,12750767,3630,IDDM1; IDDM2; INS,sobreviveu,,
Q1_Super_Populares,18045059,3717,JAK2; JTK10,sobreviveu,,
Q1_Super_Populares,27012186,3065,GON-10; HD1; HDAC1; KDAC1; RPD3L1,descarte_a_fora_abstract,,
Q1_Super_Populares,11878934,983,CDC2; CDC28A; CDK1,sobreviveu,,
Q1_Super_Populares,33683519,324,APC; DP2; DP2.5; DP3; PPP1R46,sobreviveu,,
Q1_Super_Populares,26979993,4869,B23; NPM; NPM1,descarte_a_fora_abstract,,
Q1_Super_Populares,26401760,627,BDNF,sobreviveu,,
Q1_Super_Populares,19913121,324,APC; DP2; DP2.5; DP3; PPP1R46,descarte_a_fora_abstract,,
Q1_Super_Populares,22673112,3958,GALIG; LGALS2; LGALS3; MAC-2,sobreviveu,,
Q1_Super_Populares,20933336,627,BDNF,sobreviveu,,
Q1_Super_Populares,29679564,29126,B7-H; B7-H1; B7H1; CD274; PD-L1; PDCD1LG1; PDL1,sobreviveu,,
Q1_Super_Populares,28319085,675,BRCA2; BRCC2; FACD; FAD; FAD1; FANCD; FANCD1; XRCC11,descarte_a_fora_abstract,,
Q1_Super_Populares,20204306,2475,FLJ44809; FRAP; FRAP1; FRAP2; MTOR; RAFT1; RAPT1; mTOR,sobreviveu,,
Q1_Super_Populares,21544081,79068,ALKBH9; FTO; IFEX9; KIAA1752; MGC5149,sobreviveu,,
Q1_Super_Populares,19264130,4137,DDPAC; FLJ31424; FTDP-17; MAPT; MAPTL; MGC138549; MSTD; MTBT1; MTBT2; PPND; PPP1R103; TAU; Tau-PHF6; tau; tau-40,sobreviveu,,
Q1_Super_Populares,33995361,3586,CSIF; IL-10; IL10; IL10A; TGIF,sobreviveu,,
Q1_Super_Populares,18018472,4288,Ki-67; MIB-1; MKI67; PPP1R105,descarte_b_no_abstract,MIB-1,MIB-1 immunolabeling: a valuable marker in pr
Q1_Super_Populares,12524082,5054,PAI; PAI1; PLANH1; SERPINE1,descarte_b_no_abstract,PAI,A) and plasminogen activator inhibitor (PAI-I) and whether their expression is regu
Q1_Super_Populares,30796164,351,AD1; APP; alpha-sAPP,sobreviveu,,
Q1_Super_Populares,37661113,3065,GON-10; HD1; HDAC1; KDAC1; RPD3L1,sobreviveu,,
Q1_Super_Populares,7607642,183,AGT; SERPINA8,sobreviveu,,
Q1_Super_Populares,37395027,4000,CMD1A; HGPS; LGMD1B; LMN1; LMNA; LMNL1; MADA; PRO1,sobreviveu,,
Q1_Super_Populares,15845362,5594,ERK; ERK2; MAPK1; MAPK2; PRKM1; PRKM2; p41mapk,descarte_a_fora_abstract,,
Q1_Super_Populares,32375042,120892,DKFZp434H2111; FLJ45829; LRRK2; PARK8; RIPK7; ROCO2,descarte_b_no_abstract,LRRK2,The Parkinson's Disease Protein LRRK2 Interacts with the GARP Complex to Prom
Q1_Super_Populares,25643203,6532,5-HTT; HTT; OCD1; SERT1; SLC6A4,sobreviveu,,
Q1_Super_Populares,19075016,23411,SIR2L1; SIRT1,sobreviveu,,
Q1_Super_Populares,19953622,2952,GSTT1,sobreviveu,,
Q1_Super_Populares,21674042,3106,AS; HLA-B,sobreviveu,,
Q1_Super_Populares,29362425,5879,RAC1; Rac-1; TC-25; p21-Rac1,descarte_b_no_abstract,RAC1,regulates its oligomerization state and Rac1 ubiquitination.   The regulation of Rac
Q1_Super_Populares,16907768,3553,IL-1B; IL1-BETA; IL1B; IL1F2,sobreviveu,,
Q1_Super_Populares,9425125,5970,NFKB3; RELA; p65,descarte_b_no_abstract,p65," is able to squelch the activity of the p65 acidic domain. Altogether, these struct"
Q1_Super_Populares,31661551,4313,CLG4; CLG4A; MMP-2; MMP2; TBE-1,sobreviveu,,
Q1_Super_Populares,21736951,2950,FAEES3; GST3; GSTP; GSTP1,sobreviveu,,
Q1_Super_Populares,36435608,2099,ER; ER-alpha; ESR; ESR1; Era; NR3A1,sobreviveu,,
Q1_Super_Populares,36546586,4193,HDM2; MDM2; MGC5370,sobreviveu,,
Q1_Super_Populares,15033463,2952,GSTT1,sobreviveu,,
Q1_Super_Populares,21181166,7124,DIF; TNF; TNF-alpha; TNFA; TNFSF2,sobreviveu,,
Q1_Super_Populares,38368381,6667,SP1,sobreviveu,,
Q1_Super_Populares,25620704,3107,D6S204; HLA-C; HLA-JY3; PSORS1,descarte_a_fora_abstract,,
Q1_Super_Populares,13678532,3162,HMOX1; HO-1; bK286B10,sobreviveu,,
Q1_Super_Populares,20599762,7040,CED; DPD1; TGFB; TGFB1; TGFbeta,sobreviveu,,
Q1_Super_Populares,24236118,4879,NPPB,sobreviveu,,
Q1_Super_Populares,19226262,9370,ACDC; ACRP30; ADIPOQ; GBP28; adiponectin; apM1,sobreviveu,,
Q1_Super_Populares,28256105,1557,CPCJ; CYP2C; CYP2C19; P450IIC19,sobreviveu,,
Q1_Super_Populares,39218978,114548,AGTAVPRL; AII; AVP; C1orf7; CIAS1; CLR1.1; DFNA34; FCAS; FCU; MWS; NALP3; NLRP3; PYPAF1,sobreviveu,,
Q1_Super_Populares,20604950,1029,ARF; CAI2; CDK4I; CDKN2; CDKN2A; CMM2; INK4; INK4a; MLM; MTS1; P16-INK4A; p14; p14ARF; p16; p16INK4a; p19; p19Arf,sobreviveu,,
Q1_Super_Populares,32457219,23435,ALS10; TARDBP; TDP-43,descarte_a_fora_abstract,,
Q1_Super_Populares,29253086,120892,DKFZp434H2111; FLJ45829; LRRK2; PARK8; RIPK7; ROCO2,sobreviveu,,
Q1_Super_Populares,12376362,4313,CLG4; CLG4A; MMP-2; MMP2; TBE-1,sobreviveu,,
Q1_Super_Populares,25425967,3552,IL-1A; IL1; IL1-ALPHA; IL1A; IL1F1,sobreviveu,,
Q1_Super_Populares,36737794,3383,BB2; CD54; ICAM1,sobreviveu,,
Q1_Super_Populares,32157215,7157,LFS1; TP53; p53,sobreviveu,,
Q1_Super_Populares,12858534,3091,HIF-1alpha; HIF1; HIF1A; MOP1; PASD8; bHLHe78,sobreviveu,,
Q1_Super_Populares,30853520,7097,CD282; TIL4; TLR2,sobreviveu,,
Q1_Super_Populares,16009381,1543,CP11; CYP1; CYP1A1; P1-450; P450-C; P450DX,sobreviveu,,
Q1_Super_Populares,16547804,3576,3-10C; AMCF-I; CXCL8; GCP-1; GCP1; IL-8; IL8; K60; LECT; LUCT; LYNAP; MDNCF; MONAP; NAF; NAP-1; NAP1; SCYB8; TSG-1; b-ENAP,sobreviveu,,
Q1_Super_Populares,22734943,1499,CTNNB; CTNNB1; armadillo; beta-catenin,sobreviveu,,
Q1_Super_Populares,15563891,348,AD2; APOE,sobreviveu,,
Q1_Super_Populares,23221871,627,BDNF,sobreviveu,,
Q1_Super_Populares,24917023,3606,IGIF; IL-18; IL-1g; IL18; IL1F4,sobreviveu,,
Q1_Super_Populares,9465039,3077,HFE; HFE1; HLA-H,sobreviveu,,
Q1_Super_Populares,21097678,1432,CSBP1; CSBP2; CSPB1; MAPK14; Mxi2; PRKM14; PRKM15; p38; p38alpha,sobreviveu,,
Q1_Super_Populares,21206905,1432,CSBP1; CSBP2; CSPB1; MAPK14; Mxi2; PRKM14; PRKM15; p38; p38alpha,descarte_a_fora_abstract,,
Q1_Super_Populares,22447520,4233,DFNB97; HGFR; MET; RCCP2,descarte_b_no_abstract,MET,nalysis of the hepatocyte growth factor/MET signaling pathway in pediatric medullob
Q1_Super_Populares,26073399,335,APOA1,sobreviveu,,
Q1_Super_Populares,32285172,7040,CED; DPD1; TGFB; TGFB1; TGFbeta,sobreviveu,,
Q1_Super_Populares,18042361,7450,F8VWF; VWF,sobreviveu,,
Q1_Super_Populares,12415614,64127,BLAU; CARD15; CD; CLR16.3; IBD1; NLRC2; NOD2; PSORAS1,sobreviveu,,
Q1_Super_Populares,20935614,4524,MTHFR,sobreviveu,,
Q1_Super_Populares,17682054,2908,GR; GRL; NR3C1,sobreviveu,,
Q1_Super_Populares,22140263,2932,GSK3B,sobreviveu,,
Q1_Super_Populares,19243543,3123,HLA-DR1B; HLA-DRB1,sobreviveu,,
Q1_Super_Populares,16477012,3553,IL-1B; IL1-BETA; IL1B; IL1F2,sobreviveu,,
Q1_Super_Populares,21444121,1956,EGFR; ERBB; ERBB1; ERRP,sobreviveu,,
Q1_Super_Populares,17334320,2153,F5; fV,descarte_a_fora_abstract,,
Q1_Super_Populares,33075048,5468,NR1C3; PPARG; PPARG1; PPARG2; PPARgamma,sobreviveu,,
Q1_Super_Populares,24721839,3815,C-Kit; CD117; KIT; PBT; SCFR,sobreviveu,,
Q1_Super_Populares,20377868,6696,BNSP; BSPI; ETA-1; OPN; SPP1; lnc-PKD2-2-3,sobreviveu,,
Q1_Super_Populares,18719673,3630,IDDM1; IDDM2; INS,sobreviveu,,
Q1_Super_Populares,21475975,387,ARH12; ARHA; RHOA; RHOH12; Rho12,sobreviveu,,
Q1_Super_Populares,23472054,5925,OSRC; PPP1R130; RB; RB1,descarte_b_no_abstract,RB,s to induce cellular senescence via the Rb-E2F pathway.   The INhibitor of Growth 
Q1_Super_Populares,26662389,4524,MTHFR,sobreviveu,,
Q1_Super_Populares,18075462,4846,ECNOS; NOS3; eNOS,sobreviveu,,
Q1_Super_Populares,18713823,7422,VEGF; VEGF-A; VEGFA; VPF,sobreviveu,,
Q1_Super_Populares,18443805,2952,GSTT1,sobreviveu,,
Q1_Super_Populares,34839558,5925,OSRC; PPP1R130; RB; RB1,descarte_b_no_abstract,RB,SUMOylation regulates Rb hyperphosphorylation and inactivation i
Q1_Super_Populares,36172747,1493,CD; CD152; CELIAC3; CTLA-4; CTLA4; GSE; IDDM12,sobreviveu,,
Q1_Super_Populares,33531586,2146,ENX-1; EZH1; EZH2; KMT6; KMT6A,sobreviveu,,
Q1_Super_Populares,20971508,960,CD44; CD44R; CDw44; CSPG8; ECM-III; H-CAM; HCELL; HUTCH-1; HUTCH-I; Hermes-1; IN; MC56; MDU2; MDU3; MIC4; PGP-1; Pgp1,sobreviveu,,
Q1_Super_Populares,21136273,3162,HMOX1; HO-1; bK286B10,sobreviveu,,
Q1_Super_Populares,29509190,3107,D6S204; HLA-C; HLA-JY3; PSORS1,descarte_a_fora_abstract,,
